	Score	0.95 MoE	P-Value	Q-Value
chr12q22	0.4018764504641395			
GO_HISTONE_H2A_ACETYLATION	0.3834358498032214			
GO_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY	0.37897125396642367			
GO_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY	0.3784162014925814			
GO_NCRNA_EXPORT_FROM_NUCLEUS	0.3741030120229704			
GO_RDNA_BINDING	0.37340065805533873			
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	0.3719359358038423			
IPA_PAX9_UP	0.3709869130934332			
GO_NEGATIVE_REGULATION_OF_RNA_SPLICING	0.3709026296423025			
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	0.3700195324174838			
KLF14_TARGET_GENES	0.36908438663525817			
REACTOME_SUMOYLATION_OF_RNA_BINDING_PROTEINS	0.36661094568853436			
GO_ISWI_TYPE_COMPLEX	0.36623347272762047			
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	0.36593351697376353			
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	0.3635756880516412			
GATGKMRGCG_UNKNOWN	0.3631340485298883			
GO_NEGATIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.3630956682850424			
GCGSCMNTTT_UNKNOWN	0.3625288975832426			
GO_BEHAVIORAL_RESPONSE_TO_NICOTINE	0.36251821384416166			
IPA_CIITA_DN	0.36204988686194217			
GO_N_ACETYLGLUCOSAMINE_6_O_SULFOTRANSFERASE_ACTIVITY	0.36140797042507883			
BIOCARTA_ERBB4_PATHWAY	0.3610864322042169			
YTCCCRNNAGGY_UNKNOWN	0.3597176516510802			
BENPORATH_ES_1	0.35879821891904495			
GO_NEGATIVE_REGULATION_OF_MRNA_PROCESSING	0.358794366009323			
GO_NEURAL_PLATE_MORPHOGENESIS	0.35868159970949026			
IPA_SKP2_DN	0.3577314827878705			
MYCMAX_01	0.3575717584278859			
REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS	0.35703193775819536			
GO_SPLICEOSOMAL_SNRNP_ASSEMBLY	0.3561079330328899			
MIR3691_5P	0.35609844619661407			
TGCGCANK_UNKNOWN	0.3558613826870077			
REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS	0.3554803067830469			
REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS	0.3548665584858281			
GO_MRNA_5_SPLICE_SITE_RECOGNITION	0.35468053977697445			
NFMUE1_Q6	0.35393370127900925			
E2F_Q2	0.3535897510726812			
LMTK3_TARGET_GENES	0.3531609849113882			
BIOCARTA_NPC_PATHWAY	0.35287466569364034			
GO_SWR1_COMPLEX	0.35267165720819904			
GO_GLUTAMINE_METABOLIC_PROCESS	0.3526046795232313			
MIR6825_5P	0.35225990251321826			
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA	0.35207775298009536			
MAX_01	0.3509634536527245			
GO_ALANINE_TRANSPORT	0.35093135535267356			
REACTOME_SNRNP_ASSEMBLY	0.35068691134398394			
CACGTG_MYC_Q2	0.35061778207715794			
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	0.35052203701890466			
GO_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	0.35051506479491795			
GO_REGULATION_OF_SKELETAL_MUSCLE_CONTRACTION	0.3504771636433936			
BHATTACHARYA_EMBRYONIC_STEM_CELL	0.3503997230937854			
ZNF740_TARGET_GENES	0.3501712382151349			
GO_NEGATIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	0.3500777636663616			
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.34959552403214694			
MYCMAX_03	0.3488523813094151			
GO_RESPONSE_TO_GLYCOSIDE	0.34858006144522813			
GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP	0.3485110211571893			
NRF1_Q6	0.348428407905006			
GTGGTGA_MIR197	0.34816057143188484			
GO_TELOMERE_ORGANIZATION	0.34781414953617373			
WYAAANNRNNNGCG_UNKNOWN	0.3477762191239168			
GO_RECEPTOR_TRANSACTIVATION	0.34735936517841576			
STAT1_02	0.34688919170003013			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN	0.3466658688149877			
GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP	0.3463106906447891			
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_DN	0.3458354195412577			
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	0.34581922380487007			
ZNF354A_TARGET_GENES	0.34556136757068134			
GO_REGULATION_OF_GENE_EXPRESSION_BY_GENETIC_IMPRINTING	0.34550560360801097			
GO_POSITIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	0.3447523699766736			
GO_RNA_POLYMERASE_III_TRANSCRIPTION_FACTOR_COMPLEX	0.34450676510167166			
PPARG_01	0.3444797466240506			
GO_PRESYNAPTIC_ACTIVE_ZONE_CYTOPLASMIC_COMPONENT	0.34445130595656387			
REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS	0.34429139893685873			
GO_GENETIC_IMPRINTING	0.3442002004598778			
ZHAN_MULTIPLE_MYELOMA_SUBGROUPS	0.34408644606274136			
ZNF577_TARGET_GENES	0.3440274474229148			
REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER	0.34398747037149546			
SP3_Q3	0.34392455274527745			
GO_U2_TYPE_CATALYTIC_STEP_2_SPLICEOSOME	0.343496676941526			
GO_RESPONSE_TO_NITROSATIVE_STRESS	0.343281882649346			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_6H_DN	0.3431010911883666			
GO_SPERMATID_NUCLEUS_DIFFERENTIATION	0.34295260641800795			
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	0.342945387474111			
MIR92A_2_5P	0.3424879562277581			
GO_NEURAL_PLATE_DEVELOPMENT	0.3424767579096636			
GO_CELLULAR_RESPONSE_TO_NITROSATIVE_STRESS	0.3423353153235464			
