	Score	0.95 MoE	P-Value	Q-Value
chr3p22	0.5218658550090565			
GO_POSITIVE_REGULATION_OF_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES	0.49590818565082667			
GO_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION	0.4866489974452991			
chr3p21	0.47173062954016015			
IPA_KLF13_UP	0.46927483641422546			
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	0.463860349463375			
GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY	0.46380675021388773			
GO_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES	0.4611615622236398			
GO_PHOSPHATIDYLINOSITOL_MONOPHOSPHATE_PHOSPHATASE_ACTIVITY	0.45400532671859595			
chr3p25	0.4531648815283714			
GSE25085_FETAL_LIVER_VS_FETAL_BM_SP4_THYMIC_IMPLANT_UP	0.4531203874514198			
GSE7852_TREG_VS_TCONV_FAT_DN	0.44107440799609554			
GO_POSITIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	0.44040568624479953			
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_DN	0.4400072013364314			
IPA_FLI1_UP	0.43933292758929643			
WIKMAN_ASBESTOS_LUNG_CANCER_DN	0.4383782897395117			
GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.4381834877447852			
chr3p24	0.43441591775653465			
HESSON_TUMOR_SUPPRESSOR_CLUSTER_3P21_3	0.4343027955363651			
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_UP	0.43423264587395616			
GO_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	0.4341697607085087			
GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_DN	0.434098442759399			
ARID5B_TARGET_GENES	0.4339070418864909			
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	0.43366660960737763			
GSE44649_WT_VS_MIR155_KO_ACTIVATED_CD8_TCELL_DN	0.4335578068813788			
GO_RESPONSE_TO_INTERLEUKIN_3	0.43352523814711635			
GO_POSITIVE_T_CELL_SELECTION	0.4328928693495679			
WINTER_HYPOXIA_DN	0.4326052056825347			
GO_POSITIVE_THYMIC_T_CELL_SELECTION	0.4324715113396728			
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.43245196255511326			
GUTIERREZ_WALDENSTROEMS_MACROGLOBULINEMIA_2	0.431414635249481			
GO_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	0.43112287634301494			
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP	0.43110105732942156			
GSE3039_ALPHABETA_CD8_TCELL_VS_B1_BCELL_UP	0.4304781853689408			
GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP	0.43043548666046133			
GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	0.4293171892334763			
GO_GRANULOCYTE_DIFFERENTIATION	0.429009878792887			
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_DN	0.4274707559171831			
GO_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	0.42686357444782946			
GO_ACTIN_CORTICAL_PATCH_LOCALIZATION	0.42678544976409993			
GO_REGULATION_OF_GAMMA_DELTA_T_CELL_DIFFERENTIATION	0.42625793132386586			
GO_POSITIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY	0.42553448811117034			
GSE6259_BCELL_VS_CD8_TCELL_DN	0.4250594141481861			
GO_T_CELL_LINEAGE_COMMITMENT	0.42500872100492704			
