	Score	0.95 MoE	P-Value	Q-Value
GO_MEMBRANE_FISSION	0.8819431349654752			
GO_RESPONSE_TO_EPINEPHRINE	0.8700404278221828			
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_SECRETION	0.8637130695956989			
REACTOME_TBC_RABGAPS	0.8475294187167429			
HASLINGER_B_CLL_WITH_MUTATED_VH_GENES	0.8432124692575332			
WEBER_METHYLATED_ICP_IN_SPERM_UP	0.8411283934534587			
GO_POSITIVE_REGULATION_OF_GAMMA_DELTA_T_CELL_ACTIVATION	0.8386088950390006			
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS	0.8369324706063137			
MIR6808_3P	0.8315888408347155			
GO_FILOPODIUM_TIP	0.8289776774803087			
GO_PARENTAL_BEHAVIOR	0.8284163910477661			
GO_GATOR1_COMPLEX	0.8279316314034891			
GO_NEGATIVE_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY	0.8270100377823624			
JONES_TCOF1_TARGETS	0.8239205174897948			
GO_RAC_PROTEIN_SIGNAL_TRANSDUCTION	0.8233656591534775			
IPA_SALL4_UP	0.8181477511843672			
GO_NEGATIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION	0.8169680455246678			
IPA_MLXIP_UP	0.8154252731697538			
IPA_HDAC10_DN	0.8154252731697538			
GO_RESPONSE_TO_INTERLEUKIN_3	0.8141668978394263			
GO_PLASMA_MEMBRANE_PHOSPHOLIPID_SCRAMBLING	0.8127809169547715			
GO_CALMODULIN_BINDING	0.8115357765082694			
chr13q33	0.8085945062995789			
chr13q13	0.8042114272797122			
WEBER_METHYLATED_HCP_IN_SPERM_DN	0.8034305277686875			
REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS	0.8025145368541102			
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.802475472409771			
GO_COMPARTMENT_PATTERN_SPECIFICATION	0.8023515712321987			
MIR5739	0.8023029980900895			
GO_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION	0.8007274257440974			
GO_PHOSPHATIDYLSERINE_EXPOSURE_ON_APOPTOTIC_CELL_SURFACE	0.8004492019288737			
GO_BETA_1_3_GALACTOSYLTRANSFERASE_ACTIVITY	0.8004208551607258			
GO_REGULATION_OF_LYSOSOME_ORGANIZATION	0.7981559296739988			
STAMBOLSKY_RESPONSE_TO_VITAMIN_D3_DN	0.7972769609786037			
GSE37532_WT_VS_PPARG_KO_LN_TREG_DN	0.7959634934579595			
GO_CALMODULIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.7944722050054424			
MIR6755_3P	0.7940462232162189			
chr4p11	0.793605284662096			
GO_NEGATIVE_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION	0.7924244291721596			
GO_POSITIVE_REGULATION_OF_HEAT_GENERATION	0.790380821592923			
GO_MAGNESIUM_ION_HOMEOSTASIS	0.7897632002968968			
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.7870598902995168			
GO_POSITIVE_REGULATION_OF_FIBROBLAST_APOPTOTIC_PROCESS	0.7840757117965185			
GO_D2_DOPAMINE_RECEPTOR_BINDING	0.7813358320878077			
GO_NEGATIVE_REGULATION_OF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	0.7790237744950801			
GO_MUTLALPHA_COMPLEX_BINDING	0.7762446877057451			
REACTOME_NEUROFASCIN_INTERACTIONS	0.7746878327566337			
MIKKELSEN_ES_LCP_WITH_H3K4ME3_AND_H3K27ME3	0.7727831614247154			
GO_POSITIVE_REGULATION_OF_B_CELL_DIFFERENTIATION	0.7719396444484541			
