	Score	0.95 MoE	P-Value	Q-Value
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	0.6723358749102063			
KLEIN_PRIMARY_EFFUSION_LYMPHOMA_DN	0.664622816342797			
GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	0.6634649905777815			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN	0.6618928066751699			
ZHAN_EARLY_DIFFERENTIATION_GENES_DN	0.65937916817862			
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	0.6560337889888251			
ZHAN_MULTIPLE_MYELOMA_CD2_UP	0.6517786338599298			
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	0.6504811085429903			
IPA_EBF1_UP	0.6501705867507268			
IPA_PAX5_UP	0.6497403049177574			
IPA_MTA3_UP	0.648091433741599			
MORI_PLASMA_CELL_DN	0.647708449770221			
GSE32901_NAIVE_VS_TH1_CD4_TCELL_DN	0.6469339636428642			
SIG_BCR_SIGNALING_PATHWAY	0.6464884673728355			
REACTOME_CD22_MEDIATED_BCR_REGULATION	0.6452347065962455			
GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP	0.6433107304958925			
GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN	0.6411805974015361			
GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP	0.640724317615755			
IPA_PRDM1_DN	0.6396225871643185			
GSE10325_CD4_TCELL_VS_BCELL_DN	0.6388321761826061			
GSE5503_MLN_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN	0.6386127357992215			
PID_BCR_5PATHWAY	0.638392622772005			
GSE40273_EOS_KO_VS_WT_TREG_DN	0.6379520771969281			
MIR4730	0.6373480599239708			
GO_B_CELL_PROLIFERATION	0.6361922541677845			
IPA_ID3_DN	0.635921218879627			
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.635362555308856			
GO_IMMUNOGLOBULIN_PRODUCTION	0.6350703321219455			
GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_UP	0.6336896728551429			
GO_SINGLE_STRAND_BREAK_REPAIR	0.6329415547950711			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN	0.6328185420084617			
GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	0.6307877607824146			
GSE10325_BCELL_VS_MYELOID_UP	0.6303634659241011			
GSE21379_WT_VS_SAP_KO_CD4_TCELL_DN	0.6302066566644944			
GO_B_CELL_DIFFERENTIATION	0.6301469481145989			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.6301169361826086			
GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_UP	0.6300017950934942			
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.6292712988265527			
GSE22886_TCELL_VS_BCELL_NAIVE_DN	0.6292253696402494			
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN	0.6286640651286222			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	0.6280947300437139			
GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP	0.627775113591784			
