	Score	0.95 MoE	P-Value	Q-Value
IPA_FOXE3_UP	0.4538595619277194			
GO_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS	0.4524503438829496			
GO_RESPONSE_TO_VITAMIN_E	0.4257845973937538			
GO_COLLAGEN_RECEPTOR_ACTIVITY	0.42420526858293683			
IPA_OXSR1_UP	0.42406349497458207			
IPA_WNK1_UP	0.42406349497458207			
STAT_01	0.41748841302841183			
GO_RESPONSE_TO_PAIN	0.4132814022655471			
IPA_HDAC5_UP	0.41045344979776494			
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	0.410451487394966			
GO_LUNG_GROWTH	0.41002613772821317			
GO_REGULATION_OF_CORE_PROMOTER_BINDING	0.40897516464430866			
GO_PEPTIDE_HORMONE_RECEPTOR_BINDING	0.40689836147486286			
GO_EMBRYONIC_BODY_MORPHOGENESIS	0.40539328038077693			
GO_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	0.4047513793176341			
GO_SPONTANEOUS_SYNAPTIC_TRANSMISSION	0.40459538749734214			
ZNF514_TARGET_GENES	0.4030085584481296			
GO_NEUROPEPTIDE_HORMONE_ACTIVITY	0.4019413705953964			
MIR6736_3P	0.40110126593953055			
GSE7459_UNTREATED_VS_IL6_TREATED_ACT_CD4_TCELL_DN	0.40095131720383115			
SCHWAB_TARGETS_OF_BMYB_POLYMORPHIC_VARIANTS_UP	0.4006538539004917			
GO_NATRIURETIC_PEPTIDE_RECEPTOR_ACTIVITY	0.3996611642928863			
GO_NAD_P_PLUS_PROTEIN_ARGININE_ADP_RIBOSYLTRANSFERASE_ACTIVITY	0.3988405484604159			
AATGGAG_MIR136	0.3986622347838162			
chr1p22	0.3985407634501777			
IPA_SCXA_DN	0.396750638449025			
GO_FOREBRAIN_NEURON_FATE_COMMITMENT	0.3953406249132206			
GSE27786_NKTCELL_VS_ERYTHROBLAST_DN	0.3946616160235551			
GSE4142_PLASMA_CELL_VS_MEMORY_BCELL_UP	0.39345098117724986			
GO_NEGATIVE_REGULATION_OF_AMINE_TRANSPORT	0.3929099225634884			
GO_LACTATE_METABOLIC_PROCESS	0.39125426098892035			
GO_ANIMAL_ORGAN_MATURATION	0.39086864694905066			
MIR6813_5P	0.39073249445073227			
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS	0.39002586487482355			
PAX6_01	0.3899514602453067			
GO_CORTICOTROPIN_RELEASING_HORMONE_RECEPTOR_BINDING	0.3891313165549107			
GO_CARBOHYDRATE_PHOSPHATASE_ACTIVITY	0.38847683719157955			
GO_OXYSTEROL_BINDING	0.3880423574323073			
chr4q31	0.38801554581820763			
HOWLIN_CITED1_TARGETS_2_DN	0.38799782560974083			
