	Score	0.95 MoE	P-Value	Q-Value
GO_7S_RNA_BINDING	0.7136614062417808			
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	0.6785428320415885			
GO_SIGNAL_RECOGNITION_PARTICLE_ENDOPLASMIC_RETICULUM_TARGETING	0.6724340697574138			
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	0.6485232391000976			
VANTVEER_BREAST_CANCER_ESR1_UP	0.6474329622876415			
FARMER_BREAST_CANCER_CLUSTER_7	0.6446547015995128			
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_5_SECRETION	0.6413637766041194			
SMID_BREAST_CANCER_LUMINAL_B_UP	0.6395380323910019			
KHETCHOUMIAN_TRIM24_TARGETS_DN	0.6393890372146784			
SMID_BREAST_CANCER_BASAL_DN	0.638809722162459			
IPA_NFATC3_UP	0.637360877007771			
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	0.6365269554954353			
DOANE_BREAST_CANCER_CLASSES_UP	0.6345977976650636			
CRX_NRL_DN.V1_UP	0.6341275190502929			
NRL_DN.V1_UP	0.6311235537508232			
IPA_NEUROG2_UP	0.6305525063786345			
GO_MAMMARY_GLAND_BRANCHING_INVOLVED_IN_PREGNANCY	0.6279069904950518			
HUANG_DASATINIB_RESISTANCE_DN	0.6267936931992176			
GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.6226943076769188			
VANTVEER_BREAST_CANCER_METASTASIS_UP	0.6218933224940995			
GO_MAINTENANCE_OF_DNA_REPEAT_ELEMENTS	0.6209135907075893			
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS	0.6197026487181657			
YANG_BREAST_CANCER_ESR1_LASER_UP	0.6196323576663417			
IPA_GFI1B_UP	0.619555508631866			
DOANE_BREAST_CANCER_ESR1_UP	0.6193754204201732			
GO_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS	0.6183450332072387			
GO_RNA_CAP_BINDING_COMPLEX	0.6182997978006622			
