	Score	0.95 MoE	P-Value	Q-Value
GO_ADENOHYPOPHYSIS_DEVELOPMENT	0.5348965433200349			
GO_SOMATOTROPIN_SECRETING_CELL_DIFFERENTIATION	0.5278983816884278			
GSE40441_NRP1_POS_INDUCED_TREG_VS_NRP1_NEG_NATURAL_TREG_DN	0.4528371273304275			
GO_NEURON_FATE_SPECIFICATION	0.44862593797066624			
GO_TRANSCRIPTIONAL_REPRESSOR_COMPLEX	0.4469957470793963			
GO_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	0.4450395898423567			
ZF5_B	0.44201769057498036			
GO_PITUITARY_GLAND_DEVELOPMENT	0.43907121774323893			
BIOCARTA_PITX2_PATHWAY	0.4316981234237299			
HEN1_01	0.4313076420285907			
IPA_NEUROG3_UP	0.42913082023557353			
LEF1_Q6	0.4272538962909666			
IPA_HES1_DN	0.42606496948821093			
GO_PROSTATE_GLAND_DEVELOPMENT	0.42539002331925696			
AAGWWRNYGGC_UNKNOWN	0.4253363065759644			
RORA1_01	0.4246861580043023			
GO_NEURON_FATE_COMMITMENT	0.4238556739208194			
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.4228939653257758			
GO_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_GROWTH	0.42215293341818183			
CP2_02	0.42085676414072015			
GO_APPENDAGE_DEVELOPMENT	0.4207034874786113			
GO_MYOTUBE_DIFFERENTIATION_INVOLVED_IN_SKELETAL_MUSCLE_REGENERATION	0.4198029000922702			
CRX_Q4	0.4187389603052686			
MIR4722_5P	0.4175850930325039			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP	0.4174936237304787			
MIR6783_5P	0.41714072332034563			
GO_HISTONE_H4_ACETYLATION	0.41704862879539406			
PEREZ_TP53_AND_TP63_TARGETS	0.41683302188727644			
GO_CALCIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	0.4165169480449713			
GO_DENTATE_GYRUS_DEVELOPMENT	0.41627484198178577			
GO_NETRIN_RECEPTOR_ACTIVITY	0.41603628800410064			
PID_HES_HEY_PATHWAY	0.41491294272533397			
GO_RESPONSE_TO_L_GLUTAMATE	0.4145600408575845			
MEISSNER_BRAIN_HCP_WITH_H3K4ME2_AND_H3K27ME3	0.4144569547752001			
IPA_LHX6_DN	0.4130059218108904			
GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN	0.41249436648231735			
GO_CHROMATIN	0.4122848014230608			
GO_REGULATION_OF_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION	0.4121759642660336			
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	0.412022125526533			
GO_NOTOCHORD_DEVELOPMENT	0.4119120554421476			
MIR4764_5P	0.4115624745294136			
IPA_EGR2_UP	0.4115373223519681			
BENPORATH_ES_WITH_H3K27ME3	0.41085302095672843			
IPA_ASCL1_UP	0.41081240023633037			
GO_REGULATION_OF_HISTONE_METHYLATION	0.4105368886209458			
GO_ENTEROENDOCRINE_CELL_DIFFERENTIATION	0.41050239609751715			
TBP_01	0.4096196855696452			
BENPORATH_PRC2_TARGETS	0.40941520147239746			
GO_HINDLIMB_MORPHOGENESIS	0.4092891154723024			
PEREZ_TP63_TARGETS	0.40924843727340837			
GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC	0.40908594582150754			
MIR6780B_5P	0.40880696344843076			
GO_REGULATION_OF_HISTONE_MODIFICATION	0.4086844399926298			
GO_NEUROTRANSMITTER_RECEPTOR_ACTIVITY_INVOLVED_IN_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	0.4086120643132749			
SREBP_Q3	0.4084989455342771			
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCAGON_LIKE_PEPTIDE_1_GLP_1	0.40739048864049876			
IPA_ACTR3_UP	0.4070304496527248			
