	Score	0.95 MoE	P-Value	Q-Value
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	0.731149718544512			
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.7282973461840325			
GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP	0.7263929438268549			
GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN	0.7248161706402952			
GSE29618_BCELL_VS_MONOCYTE_UP	0.7245579070298512			
GSE10325_BCELL_VS_MYELOID_UP	0.7245011715078084			
GO_IMMUNOGLOBULIN_COMPLEX	0.7242942269926768			
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP	0.7231391535627963			
GSE3982_MAST_CELL_VS_BCELL_DN	0.7216697966034974			
GSE29618_BCELL_VS_MDC_UP	0.7186463072600476			
GSE3982_BCELL_VS_NKCELL_UP	0.7168147688843682			
IPA_ID3_DN	0.7162996317133852			
GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_DN	0.7138215420115208			
GUTIERREZ_CHRONIC_LYMPHOCYTIC_LEUKEMIA_UP	0.7115052489628365			
GSE3982_EOSINOPHIL_VS_BCELL_DN	0.7106253017448427			
GSE3982_DC_VS_BCELL_DN	0.7096881501755046			
GSE29617_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_DN	0.7090344191840587			
GSE3982_MAC_VS_BCELL_DN	0.7084529785005217			
GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP	0.7072181831907461			
BASSO_CD40_SIGNALING_DN	0.7055882799008087			
GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_UP	0.7054671495193601			
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12	0.7050281142041313			
WRNIP1_TARGET_GENES	0.7045153101478691			
GSE369_SOCS3_KO_VS_WT_LIVER_POST_IL6_INJECTION_DN	0.7027024592785149			
GSE29618_MONOCYTE_VS_PDC_DN	0.7025906241187443			
GSE22886_NAIVE_BCELL_VS_DC_UP	0.7018759690822843			
GSE22886_NAIVE_CD4_TCELL_VS_DC_UP	0.7013973930111905			
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_BCR_SIGNALING	0.7008239649438764			
GO_POSITIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	0.7007683750194813			
HDAC4_TARGET_GENES	0.7006755165267151			
GO_IMMUNOGLOBULIN_COMPLEX_CIRCULATING	0.7002815976652386			
GSE3982_BCELL_VS_BASOPHIL_UP	0.7002512417947715			
GO_INTERLEUKIN_10_BIOSYNTHETIC_PROCESS	0.6993074064858105			
IPA_MTA3_UP	0.6990073595964439			
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	0.6989746010225867			
IPA_BCL6_UP	0.6974442438308046			
FUNG_IL2_SIGNALING_2	0.6974353229157931			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	0.6972586758641066			
GSE5503_MLN_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN	0.6959530455387973			
GSE21379_WT_VS_SAP_KO_CD4_TCELL_DN	0.6954738621766211			
GSE3982_MEMORY_CD4_TCELL_VS_BCELL_DN	0.6943466739753219			
GSE22886_NAIVE_CD8_TCELL_VS_DC_UP	0.6935193761440858			
GSE6269_HEALTHY_VS_E_COLI_INF_PBMC_UP	0.6933973812586545			
GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_NK_CELL_UP	0.6931800594980796			
GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP	0.6925441395869512			
PUJANA_BRCA1_PCC_NETWORK	0.6915672779760607			
EHRLICH_ICF_SYNDROM_DN	0.6911044802938905			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.6901794018535257			
GO_IMMUNOGLOBULIN_PRODUCTION	0.6900405395152003			
MARSON_FOXP3_TARGETS_DN	0.6892739091944486			
GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP	0.6892447132471596			
GSE29618_PDC_VS_MDC_UP	0.6892129371285655			
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_15	0.6890281629325725			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_GERMLINE_RECOMBINATION_WITHIN_A_SINGLE_LOCUS	0.6889754607436289			
GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_DN	0.6888425868113259			
BIOCARTA_CTCF_PATHWAY	0.6884459508453387			
GO_B_CELL_ACTIVATION	0.687691280720938			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN	0.6876007527263492			
GO_DNA_MODIFICATION	0.687588765555248			
GO_B_CELL_PROLIFERATION	0.687534528723745			
MAML1_TARGET_GENES	0.68733874336552			
GO_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	0.6872678663006525			
GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_UP	0.6870904856845456			
SU_THYMUS	0.6867942079124881			
GSE25677_R848_VS_MPL_AND_R848_STIM_BCELL_DN	0.6867823339949073			
GSE10325_CD4_TCELL_VS_BCELL_DN	0.6866322624566052			
HOLLMANN_APOPTOSIS_VIA_CD40_UP	0.6856676559774868			
GSE22229_RENAL_TRANSPLANT_VS_HEALTHY_PBMC_UP	0.6854984774063767			
GO_B_CELL_DIFFERENTIATION	0.6854657364222886			
IPA_PRDM1_DN	0.6854597348845903			
HELLER_HDAC_TARGETS_DN	0.6853973564332873			
HADDAD_B_LYMPHOCYTE_PROGENITOR	0.6852391984340467			
GSE22886_NAIVE_TCELL_VS_DC_UP	0.6851011537467854			
GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD4_TCELL_DN	0.6848217815202815			
ARID5B_TARGET_GENES	0.684692869307257			
PUJANA_ATM_PCC_NETWORK	0.6845380406761146			
GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_UP	0.6844806912245478			
GO_SOMATIC_RECOMBINATION_OF_IMMUNOGLOBULIN_GENE_SEGMENTS	0.6841267197399374			
IPA_EBF1_UP	0.6839657913024717			
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN	0.6837986707101731			
GO_POSITIVE_REGULATION_OF_DNA_RECOMBINATION	0.682463418670216			
GSE3982_NEUTROPHIL_VS_BCELL_DN	0.6823326971597506			
GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP	0.6822784033400127			
ZNF597_TARGET_GENES	0.682154452877209			
GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_CD8A_DC_UP	0.6817231398961091			
GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.6815319436582462			
GSE22886_NAIVE_TCELL_VS_MONOCYTE_UP	0.6814523677040448			
GO_LYMPHOCYTE_DIFFERENTIATION	0.6807202259529714			
