	Score	0.95 MoE	P-Value	Q-Value
GSE29164_DAY3_VS_DAY7_UNTREATED_MELANOMA_UP	0.6124008531155355			
GSE29618_BCELL_VS_PDC_UP	0.6042282687359172			
MAML1_TARGET_GENES	0.5856051298940899			
ZHAN_EARLY_DIFFERENTIATION_GENES_DN	0.5808411604581716			
GSE2826_WT_VS_BTK_KO_BCELL_UP	0.5788591621597733			
REACTOME_NEF_AND_SIGNAL_TRANSDUCTION	0.5777815356548497			
ZNF597_TARGET_GENES	0.5762821194649217			
GO_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE	0.5747654902691955			
GSE24972_WT_VS_IRF8_KO_SPLEEN_FOLLICULAR_BCELL_DN	0.5741681002522054			
IPA_NFKB2_UP	0.5734151047803753			
PID_BCR_5PATHWAY	0.5733077866502728			
GSE3982_BCELL_VS_CENT_MEMORY_CD4_TCELL_UP	0.571966919488564			
GSE41867_DAY8_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_DN	0.5716911082325175			
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	0.5710943260819981			
GSE40274_CTRL_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.570987478033645			
GO_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	0.570895572964832			
GSE29618_BCELL_VS_MDC_UP	0.5699672281811747			
GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_UP	0.5698644701977789			
HOLLMANN_APOPTOSIS_VIA_CD40_UP	0.5698133478603297			
GSE37301_CD4_TCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN	0.5695034896597829			
GO_LEUKOCYTE_AGGREGATION	0.5690177948885604			
IPA_PRDM1_DN	0.5686253071767139			
GO_NEGATIVE_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.5669310075770858			
GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_CD8A_DC_UP	0.5666771642922291			
ELK1_01	0.565733343720349			
POOLA_INVASIVE_BREAST_CANCER_UP	0.56459204091346			
GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_UP	0.5643843407487235			
GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_LN_DN	0.5642383457345465			
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.5639937334601391			
GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_24H_UP	0.5630910645755185			
GO_NEGATIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	0.5630129430536348			
GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	0.562926139369083			
GSE3982_MEMORY_CD4_TCELL_VS_BCELL_DN	0.5623122141613447			
GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_DN	0.5620298545755934			
GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_UP	0.5604783469914587			
GSE22886_CD4_TCELL_VS_BCELL_NAIVE_DN	0.5603410649393635			
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY	0.5602174337131216			
GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_UP	0.5601889942492996			
GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_DN	0.5587743627735634			
GO_SOMATIC_RECOMBINATION_OF_IMMUNOGLOBULIN_GENE_SEGMENTS	0.558344176923681			
GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_UP	0.5581840821608536			
GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_UP	0.5579967570446408			
GSE36009_UNSTIM_VS_LPS_STIM_DC_DN	0.5574907298461942			
GSE8621_LPS_STIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN	0.5561530115172258			
GSE39556_CD8A_DC_VS_NK_CELL_DN	0.5558321628665827			
GARY_CD5_TARGETS_UP	0.5555503853259055			
GSE20727_CTRL_VS_H2O2_TREATED_DC_DN	0.5552273449411725			
