	Score	0.95 MoE	P-Value	Q-Value
GO_ACETYLTRANSFERASE_ACTIVITY	0.42320064529025164			
GO_N_ACYLTRANSFERASE_ACTIVITY	0.4104430972267528			
GO_N_ACETYLTRANSFERASE_ACTIVITY	0.4100239460848765			
GO_METHYLATION	0.4066778422064454			
GO_N_METHYLTRANSFERASE_ACTIVITY	0.4041817239650619			
IPA_FLI1_UP	0.40379354001069145			
GO_MACROMOLECULE_METHYLATION	0.4029674412899914			
GO_HOMOLOGOUS_RECOMBINATION	0.3997777129301928			
GO_POLY_A_PLUS_MRNA_EXPORT_FROM_NUCLEUS	0.3978143144474721			
GO_S_ADENOSYLMETHIONINE_DEPENDENT_METHYLTRANSFERASE_ACTIVITY	0.3952418713492725			
GO_EUKARYOTIC_48S_PREINITIATION_COMPLEX	0.39513878422326565			
GO_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX	0.3925402399738722			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K4_SPECIFIC	0.390704042382566			
GO_PEPTIDE_N_ACETYLTRANSFERASE_ACTIVITY	0.39056518125014317			
MYC_UP.V1_UP	0.3891550060186569			
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	0.3876651690123725			
GO_NCRNA_METABOLIC_PROCESS	0.3857838638930941			
GO_MEIOSIS_I_CELL_CYCLE_PROCESS	0.38555899114232806			
GO_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	0.38495526853053097			
GO_EXONUCLEASE_ACTIVITY	0.3841742258763314			
GO_TRANSLATION_PREINITIATION_COMPLEX	0.38382380141196637			
GSE7348_UNSTIM_VS_TOLERIZED_AND_LPS_STIM_MACROPHAGE_UP	0.3833813354175818			
GO_MATURATION_OF_5_8S_RRNA	0.38333175197272573			
GO_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	0.38269975844937465			
GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ONE_CARBON_GROUPS	0.3810230288714108			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_UP	0.38076712141983354			
GO_3_5_EXONUCLEASE_ACTIVITY	0.37968537831676674			
GO_DNA_RECOMBINATION	0.3792001645520344			
GO_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX	0.3791755838553627			
GO_DNA_METHYLATION_INVOLVED_IN_GAMETE_GENERATION	0.3787892849615142			
GO_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS	0.378595474497452			
GO_RNA_POLYMERASE_COMPLEX	0.3781768629136773			
GO_MEIOTIC_CHROMOSOME_SEPARATION	0.37766183161241335			
GO_RNA_EXPORT_FROM_NUCLEUS	0.3773504140274953			
GO_DNA_DOUBLE_STRAND_BREAK_PROCESSING	0.3772701183283834			
GO_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	0.37685058261447324			
REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS	0.3760557399260903			
GO_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	0.37539044229590784			
GO_GERM_CELL_DEVELOPMENT	0.37526360329548014			
GO_ESTABLISHMENT_OF_RNA_LOCALIZATION	0.3752167001963364			
REACTOME_GENE_SILENCING_BY_RNA	0.37494218279606434			
GO_SNORNA_LOCALIZATION	0.3748178094529902			
GO_PEPTIDYL_LYSINE_METHYLATION	0.3747087877651521			
ZHANG_RESPONSE_TO_CANTHARIDIN_DN	0.37442653352147526			
GO_PROTEIN_METHYLATION	0.373650883416204			
GO_RIBONUCLEOPROTEIN_COMPLEX_BINDING	0.373598445280689			
GO_PSEUDOURIDINE_SYNTHESIS	0.3728905736927585			
GO_DNA_MODIFICATION	0.3728349560718192			
GO_MALE_MEIOTIC_NUCLEAR_DIVISION	0.3725760376175053			
GO_NUCLEAR_NCRNA_SURVEILLANCE	0.3725195645641482			
PUJANA_BRCA1_PCC_NETWORK	0.37233213303311047			
GO_NUCLEAR_EXOSOME_RNASE_COMPLEX	0.37140656811171774			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY	0.37131058911676706			
GO_RNA_LOCALIZATION	0.3698603918649892			
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_DN	0.36948940133744723			
GO_PROTEIN_DNA_COMPLEX_DISASSEMBLY	0.36937951846705974			
GO_HISTONE_H3_K4_METHYLATION	0.36919583627573044			
MATZUK_MEIOTIC_AND_DNA_REPAIR	0.3682264224445351			
DAIRKEE_CANCER_PRONE_RESPONSE_BPA_E2	0.3682195165377797			
GO_RNA_SURVEILLANCE	0.3674060715377228			
GSE14000_UNSTIM_VS_4H_LPS_DC_UP	0.36731828318446463			
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	0.3671542187240421			
WAKASUGI_HAVE_ZNF143_BINDING_SITES	0.3667355971195875			
GO_EXONUCLEASE_ACTIVITY_ACTIVE_WITH_EITHER_RIBO_OR_DEOXYRIBONUCLEIC_ACIDS_AND_PRODUCING_5_PHOSPHOMONOESTERS	0.3661286629955616			
GO_HISTONE_METHYLATION	0.3660489024457459			
GO_MISMATCHED_DNA_BINDING	0.3659415880679789			
HALLMARK_SPERMATOGENESIS	0.3656534091951514			
GO_SPERMATID_DIFFERENTIATION	0.3655568343461004			
GO_MRNA_EXPORT_FROM_NUCLEUS	0.36498608053670495			
GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA	0.3647667648217886			
GO_CONDENSED_NUCLEAR_CHROMOSOME	0.3647339650820897			
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.36410388447853403			
REACTOME_MEIOTIC_RECOMBINATION	0.36381099487355706			
GO_CYTOPLASMIC_TRANSLATIONAL_INITIATION	0.3630865595626263			
GO_PERICENTRIC_HETEROCHROMATIN	0.36308190182266065			
GO_POLYADENYLATION_DEPENDENT_RNA_CATABOLIC_PROCESS	0.36285415430981066			
GO_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	0.36259769425070065			
GO_TRANSFERASE_COMPLEX_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS	0.3625580343496326			
GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_DN	0.3624881902350056			
GO_S_ADENOSYL_L_METHIONINE_BINDING	0.362235567519298			
GO_RNA_PROCESSING	0.3621712424146224			
ELVIDGE_HIF1A_AND_HIF2A_TARGETS_UP	0.3619161938236387			
GO_PROTEIN_METHYLTRANSFERASE_ACTIVITY	0.36189995841137856			
GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_BCELL_UP	0.36171811663272124			
GO_LYSINE_N_METHYLTRANSFERASE_ACTIVITY	0.3611418106180797			
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	0.3610668940934045			
GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	0.3606645192322108			
GSE5679_CTRL_VS_RARA_AGONIST_AM580_TREATED_DC_UP	0.360546794094974			
PUJANA_CHEK2_PCC_NETWORK	0.36036397155176814			
GO_SNRNA_BINDING	0.36014058079316885			
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC_3_5	0.3598618954219181			
GO_NUCLEOBASE_BIOSYNTHETIC_PROCESS	0.3591978240476156			
GO_RIBOSOME_BINDING	0.359055110316904			
GO_PIRNA_METABOLIC_PROCESS	0.3588700475251945			
GSE21678_WT_VS_FOXO1_FOXO3_KO_TREG_DN	0.3587114616245615			
GO_DNA_METHYLATION_OR_DEMETHYLATION	0.358570041853935			
GO_MRNA_MODIFICATION	0.3584221602395097			
KEGG_RNA_DEGRADATION	0.35839157121045295			
GO_NUCLEASE_ACTIVITY	0.3583376367595263			
GO_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	0.3581031445199202			
MIR6816_3P	0.35802011667694544			
GO_DNA_METHYLATION	0.3578924699674993			
GO_PEPTIDYL_LYSINE_TRIMETHYLATION	0.3576655650939394			
GO_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM	0.3574993905206339			
IPA_MXI1_DN	0.3574377706552462			
GO_RRNA_3_END_PROCESSING	0.35721635597817647			
REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE	0.35712293226842134			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	0.3568193620901993			
MYCMAX_01	0.35672678580714573			
GO_NUCLEAR_RETENTION_OF_PRE_MRNA_AT_THE_SITE_OF_TRANSCRIPTION	0.35668971676790745			
GO_NCRNA_PROCESSING	0.35666428922738025			
GO_TRNA_MODIFICATION	0.35663520193238635			
GO_SNRNA_METABOLIC_PROCESS	0.35657461226039505			
GSE27786_BCELL_VS_NEUTROPHIL_UP	0.3562067292665423			
GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION	0.35576326882681103			
GSE3982_BCELL_VS_BASOPHIL_UP	0.3553320275625333			
GO_MEIOTIC_CELL_CYCLE	0.3552300949845221			
GO_U1_SNRNP	0.354501553590594			
PUJANA_XPRSS_INT_NETWORK	0.35420472008222714			
REACTOME_NUCLEOBASE_BIOSYNTHESIS	0.35415304885933596			
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_2H_DN	0.35402595164581585			
LEE_METASTASIS_AND_RNA_PROCESSING_UP	0.35398557051986773			
GO_POSITIVE_REGULATION_OF_DNA_RECOMBINATION	0.353760745578791			
GO_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX	0.3534012289105565			
GO_MEIOTIC_CHROMOSOME_SEGREGATION	0.3533687039446811			
IPA_RPA2_UP	0.3533191772512757			
GO_MATURATION_OF_LSU_RRNA	0.35301554245370664			
GO_METHYLTRANSFERASE_COMPLEX	0.3528294091574448			
GO_REGULATION_OF_DNA_DAMAGE_CHECKPOINT	0.3527192599789946			
GO_SYNAPTONEMAL_STRUCTURE	0.3525484360210159			
CTCNANGTGNY_UNKNOWN	0.35227056820530234			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_GERMLINE_RECOMBINATION_WITHIN_A_SINGLE_LOCUS	0.3521504217171784			
BOYLAN_MULTIPLE_MYELOMA_C_D_UP	0.35206275680357496			
GO_TRNA_METABOLIC_PROCESS	0.35206187469714456			
GO_HISTONE_LYSINE_N_METHYLTRANSFERASE_ACTIVITY	0.35167226181959366			
GO_DNA_DIRECTED_DNA_POLYMERASE_ACTIVITY	0.35161664276237753			
GO_HISTONE_BINDING	0.3514685071179318			
GO_MRNA_PROCESSING	0.351126511865892			
GO_PSEUDOURIDINE_SYNTHASE_ACTIVITY	0.35109370712642535			
GO_SNRNA_PROCESSING	0.35102152169163514			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP	0.350897800461123			
GO_EXORIBONUCLEASE_COMPLEX	0.35075838777423085			
GO_DE_NOVO_IMP_BIOSYNTHETIC_PROCESS	0.3506861526263354			
GO_PRERIBOSOME_SMALL_SUBUNIT_PRECURSOR	0.3506819519238971			
GSE4590_PRE_BCELL_VS_VPREB_POS_LARGE_PRE_BCELL_DN	0.3505432673253353			
GO_REGULATION_OF_DNA_METHYLATION	0.3504829458385064			
HESS_TARGETS_OF_HOXA9_AND_MEIS1_UP	0.3503971239789561			
GO_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR	0.35011791843006707			
GO_PROTEIN_SIDE_CHAIN_DEGLUTAMYLATION	0.3499545087985777			
GO_PRERIBOSOME	0.3492439870723602			
GO_CHROMATIN_DISASSEMBLY	0.3491860025947999			
GO_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS	0.34911983668936947			
GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_DN	0.34910801416407633			
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN	0.34905027254389037			
GO_TELOMERIC_DNA_BINDING	0.3487222608304429			
GSE3982_CTRL_VS_LPS_4H_MAC_UP	0.3487141614175944			
GO_TELOMERASE_HOLOENZYME_COMPLEX	0.34857061285874724			
ARID5B_TARGET_GENES	0.34841548003155653			
GSE4142_NAIVE_VS_GC_BCELL_DN	0.348250094135449			
GSE31082_CD4_VS_CD8_SP_THYMOCYTE_DN	0.34824794819240784			
GO_U4_SNRNA_3_END_PROCESSING	0.34823282757201707			
GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4HIGH_BCELL_UP	0.34821583207625334			
GSE27786_BCELL_VS_NKCELL_UP	0.34812548891986966			
GO_DNA_METABOLIC_PROCESS	0.34799686190189727			
GSE22589_HEALTHY_VS_HIV_INFECTED_DC_UP	0.3479303918878928			
GO_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	0.3478115198766503			
GO_SMALL_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX	0.3477862572742421			
GSE34156_NOD2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP	0.3476421716030776			
GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_DN	0.3475637883345018			
GO_SM_LIKE_PROTEIN_FAMILY_COMPLEX	0.34742092945635794			
GO_HISTONE_METHYLTRANSFERASE_COMPLEX	0.3473805886843072			
GO_MEIOTIC_CELL_CYCLE_PROCESS	0.34735342942509817			
GO_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	0.34721248132374943			
MIKKELSEN_PLURIPOTENT_STATE_UP	0.34709323941006476			
E2F5_TARGET_GENES	0.3470384613033216			
GO_HISTONE_H3_K4_TRIMETHYLATION	0.3470375140374778			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_UP	0.3470297218170379			
GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_TREATED_DC_UP	0.3470092585938987			
GSE25085_FETAL_LIVER_VS_FETAL_BM_SP4_THYMIC_IMPLANT_UP	0.3467236199994254			
GO_IMP_BIOSYNTHETIC_PROCESS	0.34668732768831484			
GO_PROTEIN_DNA_COMPLEX	0.34656077369956617			
GO_SOMATIC_RECOMBINATION_OF_IMMUNOGLOBULIN_GENE_SEGMENTS	0.3465346515878143			
GO_REGULATION_OF_DNA_RECOMBINATION	0.3464932143409915			
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION	0.346479474419915			
GO_NCRNA_CATABOLIC_PROCESS	0.3464544072861988			
GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_UP	0.3463789650843141			
GO_PEPTIDYL_LYSINE_DIMETHYLATION	0.34613885432276564			
GSE27786_CD8_TCELL_VS_NKCELL_UP	0.3456826510458084			
GO_MRNA_TRANSPORT	0.34545408645570913			
MARTENS_TRETINOIN_RESPONSE_DN	0.3453056639534805			
GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	0.3452231032306571			
GSE23321_CD8_STEM_CELL_MEMORY_VS_NAIVE_CD8_TCELL_DN	0.34521499217729434			
GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.34483199795099023			
GSE25146_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_AGS_CELL_UP	0.3446781912062228			
GO_BOX_H_ACA_TELOMERASE_RNP_COMPLEX	0.34450379172398965			
GO_BOX_H_ACA_RNP_COMPLEX	0.34450379172398965			
GO_BOX_H_ACA_SNORNP_COMPLEX	0.34450379172398965			
GO_BOX_H_ACA_SNORNA_BINDING	0.34450379172398965			
PID_TXA2PATHWAY	0.3444165611718339			
BURTON_ADIPOGENESIS_PEAK_AT_16HR	0.3443876738952171			
IPA_FOXO3_DN	0.344264831866527			
