	Score	0.95 MoE	P-Value	Q-Value
GO_GLYCOLIPID_TRANSPORT	0.5068159111825039			
GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.4635932155505727			
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.4608270088681018			
REACTOME_SPHINGOLIPID_METABOLISM	0.4567667548478857			
GO_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.45644096465788603			
GO_GERM_CELL_MIGRATION	0.4558778009301162			
HALLMARK_ANDROGEN_RESPONSE	0.45403104757155			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.4521116578781123			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.4516932173805394			
PILON_KLF1_TARGETS_UP	0.45104463841320463			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.45081681146688907			
HALLMARK_PROTEIN_SECRETION	0.45080769962145967			
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.4491899820458451			
TOOKER_GEMCITABINE_RESISTANCE_DN	0.4471922241143721			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	0.44711063533256723			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.4468223550447085			
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP	0.4453533035271288			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.4448084404206313			
GO_TRANSFERASE_ACTIVITY_TRANSFERRING_HEXOSYL_GROUPS	0.44339401174170673			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP	0.4430669043936393			
ESC_J1_UP_LATE.V1_UP	0.44050490371882145			
KIM_WT1_TARGETS_12HR_UP	0.44008129386893186			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.4399386963153156			
GO_ENDOMEMBRANE_SYSTEM_ORGANIZATION	0.43964477288466214			
NELSON_RESPONSE_TO_ANDROGEN_UP	0.43888065559094946			
WIKMAN_ASBESTOS_LUNG_CANCER_UP	0.4386319206519559			
GSE3720_UNSTIM_VS_LPS_STIM_VD2_GAMMADELTA_TCELL_DN	0.4384941672487812			
GSE7852_LN_VS_FAT_TREG_DN	0.43802874949263			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.4373115861468874			
GO_RESPONSE_TO_THYROID_HORMONE	0.4371682241346342			
REACTOME_FIBRONECTIN_MATRIX_FORMATION	0.4371189496396018			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.4369565594229624			
UDAYAKUMAR_MED1_TARGETS_DN	0.4369557212976044			
GSE2826_WT_VS_BTK_KO_BCELL_DN	0.43626968671277666			
RAF_UP.V1_UP	0.4362447199339856			
GO_HORMONE_BINDING	0.43583350470681237			
GO_MEMBRANE_BIOGENESIS	0.4348415570592204			
YAMAZAKI_TCEB3_TARGETS_UP	0.43480393313016824			
GO_BETA_GALACTOSIDASE_ACTIVITY	0.43474602602850027			
LU_AGING_BRAIN_UP	0.433935046597655			
GO_ACTIN_BASED_CELL_PROJECTION	0.4333425046388748			
GSE2826_WT_VS_XID_BCELL_DN	0.4331025307896763			
GO_REGULATION_OF_AMYLOID_FIBRIL_FORMATION	0.43307607978097207			
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN	0.43268887548074975			
JIANG_HYPOXIA_NORMAL	0.4326470731216635			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.4322509269689616			
GO_GOLGI_APPARATUS	0.43189169393144167			
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	0.431636178423618			
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_IL6_TREATED_DN	0.430780990294198			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.42991139403262046			
LANDIS_ERBB2_BREAST_TUMORS_65_UP	0.4298392419267415			
GO_VESICLE_ORGANIZATION	0.42963143101443496			
SASSON_RESPONSE_TO_FORSKOLIN_UP	0.4294721432525333			
HALLMARK_GLYCOLYSIS	0.4294376408319776			
JOHNSTONE_PARVB_TARGETS_3_UP	0.42927697409225535			
GO_AGGREPHAGY	0.42831057559820646			
HALLMARK_COAGULATION	0.4278937454403823			
GO_INTRINSIC_COMPONENT_OF_GOLGI_MEMBRANE	0.4278450527569408			
GSE41978_ID2_KO_AND_BIM_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	0.4275736026384437			
GO_CALCIUM_ION_BINDING	0.42733444722558467			
GO_UDP_GLYCOSYLTRANSFERASE_ACTIVITY	0.42715439699560187			
GSE42021_TREG_VS_TCONV_PLN_DN	0.4271228822509217			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.42700599658229693			
COATES_MACROPHAGE_M1_VS_M2_DN	0.4268132753295716			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.42673103259403883			
CERVERA_SDHB_TARGETS_2	0.42661270813675783			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.42649817925467143			
GO_GLYCOPROTEIN_METABOLIC_PROCESS	0.42643113730835924			
REACTOME_MEMBRANE_TRAFFICKING	0.42593296814214426			
CAHOY_ASTROGLIAL	0.4254683036092206			
GO_LYSOSOMAL_TRANSPORT	0.4253657711389107			
GO_REGULATION_OF_CARDIAC_MUSCLE_ADAPTATION	0.4251762378880169			
GO_POSITIVE_REGULATION_OF_ENDOCYTOSIS	0.4251234569711446			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2	0.4250089161342683			
GO_SARCOLEMMA	0.42446797698973493			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.424328701970794			
GSE20715_0H_VS_6H_OZONE_LUNG_DN	0.42424029776212635			
ERBB2_UP.V1_UP	0.4242056058405288			
GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN	0.4241600573449853			
REACTOME_CELL_CELL_COMMUNICATION	0.4240369271308803			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.423951479731554			
IPA_KDR_UP	0.42384456093216405			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.42373381895503437			
GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	0.423705430886486			
GROSS_HYPOXIA_VIA_HIF1A_DN	0.42366401125138436			
MOREAUX_B_LYMPHOCYTE_MATURATION_BY_TACI_UP	0.42357270298786726			
REACTOME_VESICLE_MEDIATED_TRANSPORT	0.4235698326706034			
KEGG_ECM_RECEPTOR_INTERACTION	0.4235421049641849			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.4228862793091627			
MEK_UP.V1_UP	0.4228046086520674			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.4227035388634428			
GO_LYSOSOMAL_PROTEIN_CATABOLIC_PROCESS	0.42244582850111606			
GO_I_BAND	0.4223998206688912			
GO_PLASMA_MEMBRANE_ORGANIZATION	0.42238688255854767			
GO_ADHERENS_JUNCTION	0.4223853656634607			
GO_VACUOLAR_TRANSPORT	0.42207917026729413			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.42195670499662685			
GHO_ATF5_TARGETS_DN	0.42166592285624305			
NR0B1_TARGET_GENES	0.4215667550356722			
WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_TBH	0.42133367159210117			
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_UP	0.4212777467346504			
