	Score	0.95 MoE	P-Value	Q-Value
GO_CHONDROBLAST_DIFFERENTIATION	0.5356490523071729			
RAF_UP.V1_DN	0.5175173061760919			
GO_MSL_COMPLEX	0.5151928558312713			
GO_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.5064168174102467			
FRASOR_RESPONSE_TO_ESTRADIOL_UP	0.5033570033241601			
GO_NEGATIVE_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.5002828372987574			
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	0.49820544356773094			
MASSARWEH_TAMOXIFEN_RESISTANCE_DN	0.49820119334364454			
XU_GH1_AUTOCRINE_TARGETS_DN	0.4949957235706194			
MASSARWEH_RESPONSE_TO_ESTRADIOL	0.49467621051964006			
VANTVEER_BREAST_CANCER_ESR1_UP	0.49361614006819793			
GO_MAMMARY_GLAND_BRANCHING_INVOLVED_IN_PREGNANCY	0.4911585716876418			
IPA_HOXA1_UP	0.48934862769885			
YANG_BREAST_CANCER_ESR1_UP	0.4845679023778034			
IPA_STRAP_UP	0.4837981407563114			
GO_ADENYLATE_CYCLASE_ACTIVATOR_ACTIVITY	0.48187295413989056			
HUANG_DASATINIB_RESISTANCE_DN	0.4801778382525823			
GO_URETERIC_BUD_FORMATION	0.4751475247886293			
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	0.4750983135797327			
BERNARD_PPAPDC1B_TARGETS_DN	0.4742124743211638			
GO_PROGESTERONE_RECEPTOR_SIGNALING_PATHWAY	0.4732418621662305			
MIR3162_3P	0.4724277082435034			
GO_SKELETAL_MUSCLE_ADAPTATION	0.47129370042461977			
DELASERNA_TARGETS_OF_MYOD_AND_SMARCA4	0.4711031125438461			
SMID_BREAST_CANCER_LUMINAL_B_UP	0.4703493748695888			
GO_REGULATION_OF_GAMMA_AMINOBUTYRIC_ACID_SECRETION	0.46974149134440857			
IPA_FOXA1_UP	0.4687365930220723			
MIR6837_5P	0.46699630531449626			
STEIN_ESTROGEN_RESPONSE_NOT_VIA_ESRRA	0.4652702401792907			
GO_TRACHEA_CARTILAGE_DEVELOPMENT	0.4648804426820314			
VANTVEER_BREAST_CANCER_METASTASIS_UP	0.4641255444251491			
DOANE_BREAST_CANCER_ESR1_UP	0.4631674174538594			
GO_REGULATION_OF_SKELETAL_MUSCLE_ADAPTATION	0.4621852279299618			
GO_GAMMA_AMINOBUTYRIC_ACID_SECRETION	0.46201241533740023			
GO_RETINOIC_ACID_RESPONSIVE_ELEMENT_BINDING	0.4614772430073716			
HOLLERN_ADENOMYOEPITHELIAL_BREAST_TUMOR	0.45954128576743575			
MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_UP	0.4582750365916401			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP	0.45658384183995754			
SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_DN	0.4557574932853323			
HAEGERSTRAND_RESPONSE_TO_IMATINIB	0.4548240009875183			
GO_THYROID_HORMONE_GENERATION	0.4547982611790912			
EGFR_UP.V1_DN	0.4541046061975369			
WILLIAMS_ESR1_TARGETS_UP	0.4539609994344677			
GO_LUNG_ALVEOLUS_DEVELOPMENT	0.45260564994841124			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_4	0.4520297968239658			
BHAT_ESR1_TARGETS_VIA_AKT1_UP	0.45153713986528626			
ZNF445_TARGET_GENES	0.45081063300412777			
GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.45059308976248574			
GO_POSITIVE_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY	0.45008911864281675			
GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_NK_CELL_DN	0.4498950404306335			
GO_GROWTH_HORMONE_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT	0.4491895803157839			
IPA_RARG_DN	0.4489835650473563			
SMID_BREAST_CANCER_BASAL_DN	0.44700007823019317			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_6	0.44683522580307655			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_1	0.4460255430450044			
GO_POSITIVE_REGULATION_OF_UTERINE_SMOOTH_MUSCLE_CONTRACTION	0.4446799924514917			
DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN	0.4443166993173869			
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_UP	0.4435203125785777			
REACTOME_PKA_ACTIVATION_IN_GLUCAGON_SIGNALLING	0.4427607013758495			
IPA_PCGF2_UP	0.4424678775818771			
MIR4299	0.4417721596432918			
MIR5704	0.4415969207972735			
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	0.44153371153155063			
HOFFMANN_PRE_BI_TO_LARGE_PRE_BII_LYMPHOCYTE_UP	0.4413117391061958			
WANG_LMO4_TARGETS_UP	0.4402822170491453			
PID_LPA4_PATHWAY	0.4402464081624044			
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	0.44017966483501564			
