	Score	0.95 MoE	P-Value	Q-Value
GO_POSITIVE_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT	0.5375994555184527			
GO_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT	0.5248926161421643			
SWEET_LUNG_CANCER_KRAS_DN	0.5246604374942414			
GO_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	0.5244559987939243			
YAGI_AML_FAB_MARKERS	0.5212508726824776			
REACTOME_SIGNALING_BY_VEGF	0.5198101253787315			
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.5166832947317992			
IPA_MYCN_DN	0.516037515935651			
HMGB2_TARGET_GENES	0.5139284358088257			
GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	0.5075060171148332			
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	0.5074283386356658			
GO_PEPTIDASE_ACTIVATOR_ACTIVITY	0.5071370726352389			
GO_REGULATION_OF_CELLULAR_COMPONENT_SIZE	0.5059520892389078			
NUTT_GBM_VS_AO_GLIOMA_UP	0.50429363160316			
GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	0.5038879416177153			
GO_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	0.5035257956318544			
GO_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	0.5030002213810019			
GO_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.502884341383127			
LAIHO_COLORECTAL_CANCER_SERRATED_UP	0.5019218340978371			
GO_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE	0.5014344436388462			
GO_POSITIVE_REGULATION_OF_SPROUTING_ANGIOGENESIS	0.49826998080060086			
GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	0.49593612070722926			
GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.4958904191968737			
GO_CAVEOLA	0.4958356655120029			
LIM_MAMMARY_STEM_CELL_UP	0.4954612149859045			
NFAT_Q6	0.4943090974081012			
GSE7548_DAY7_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_UP	0.4927125337712092			
GO_ENDOTHELIAL_CELL_PROLIFERATION	0.49254458057377787			
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	0.4923893021278709			
HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_1_UP	0.4917532018458684			
WILSON_PROTEASES_AT_TUMOR_BONE_INTERFACE_UP	0.49133131696938215			
HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_1_DN	0.4908845523980688			
BROWNE_HCMV_INFECTION_12HR_DN	0.49085988481133275			
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	0.4907024052211959			
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_DN	0.48960535303031416			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_UP	0.48937236589962063			
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	0.48907735452443835			
GO_REGULATION_OF_CELL_SIZE	0.4890154722128243			
MIR193A_3P_MIR193B_3P	0.48897478821666707			
GO_BLOOD_VESSEL_MORPHOGENESIS	0.48890189055454775			
GO_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	0.4888889483801382			
BROWNE_HCMV_INFECTION_10HR_DN	0.48867237431390154			
GSE17721_0.5H_VS_8H_POLYIC_BMDC_DN	0.4880046742210936			
GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY7_UP	0.48784879169875695			
GO_REGULATION_OF_CYTOPLASMIC_TRANSPORT	0.4871734545944677			
PID_INTEGRIN3_PATHWAY	0.4870591258836193			
GO_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT	0.48685364701520795			
PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_UP	0.4868364101081843			
WAMUNYOKOLI_OVARIAN_CANCER_LMP_DN	0.4867607810702878			
WONG_ADULT_TISSUE_STEM_MODULE	0.4866670385748635			
IPA_JUN_DN	0.48659397778139946			
JI_RESPONSE_TO_FSH_DN	0.4861663176894564			
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	0.4861428797062361			
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.48584344067279045			
GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP	0.4857652530313363			
KARAKAS_TGFB1_SIGNALING	0.48484962903635315			
GO_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.48481868756206614			
GSE3920_IFNA_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN	0.48480052735939444			
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.4844406992180228			
DOANE_BREAST_CANCER_CLASSES_DN	0.4842907718256071			
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP	0.48409455419006314			
GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	0.4840812568709356			
ROY_WOUND_BLOOD_VESSEL_UP	0.48393626442677506			
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_RAG2_KO_NK_CELL_DN	0.4837669978232111			
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	0.483476650364982			
LIU_PROSTATE_CANCER_DN	0.48327796138458523			
GSE6674_UNSTIM_VS_PL2_3_STIM_BCELL_DN	0.48316658402445			
GO_RAP_PROTEIN_SIGNAL_TRANSDUCTION	0.48301994468433507			
GO_EMBRYO_IMPLANTATION	0.4826905949347921			
GO_PLASMA_MEMBRANE_RAFT_ASSEMBLY	0.4824501141504945			
CGTCTTA_MIR208	0.48241318338515743			
HUANG_DASATINIB_RESISTANCE_UP	0.4824022092094794			
GO_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.4823714985477075			
IPA_RUNX2_UP	0.48233593587016926			
GSE42021_TCONV_PLN_VS_CD24LO_TCONV_THYMUS_DN	0.48221501809619194			
GO_REGULATION_OF_CELL_DIFFERENTIATION	0.48175886097722664			
CORDENONSI_YAP_CONSERVED_SIGNATURE	0.4817498606564304			
MIR6797_3P	0.48137109866586614			
DE_YY1_TARGETS_DN	0.481092432358244			
GO_REGULATION_OF_SPROUTING_ANGIOGENESIS	0.48066883139622285			
GSE43955_1H_VS_10H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN	0.4805542431327946			
GO_PROTEIN_CONTAINING_COMPLEX_BINDING	0.4805138896446912			
GO_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSPORT	0.4804305232906896			
GO_VASCULOGENESIS	0.48040988164340404			
GO_CARDIOVASCULAR_SYSTEM_DEVELOPMENT	0.4803045356229442			
GO_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	0.4802688311623539			
GRUETZMANN_PANCREATIC_CANCER_UP	0.4802594102942451			
GO_LENS_FIBER_CELL_DIFFERENTIATION	0.4802378452084769			
DAZARD_RESPONSE_TO_UV_SCC_DN	0.479892607507808			
DANG_REGULATED_BY_MYC_DN	0.47981424760485036			
GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	0.4796782927647323			
MIR429	0.4794879181901601			
