	Score	0.95 MoE	P-Value	Q-Value
GO_RESPONSE_TO_LEUCINE	0.6757093629775291			
GO_DENSE_CORE_GRANULE_EXOCYTOSIS	0.659116690646559			
ACAWNRNSRCGG_UNKNOWN	0.6457015141069435			
IPA_POU4F1_DN	0.6439553115565669			
VALK_AML_WITH_T_8_21_TRANSLOCATION	0.6368502869849834			
GO_INTEGRAL_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	0.63589063273065			
GO_TERMINAL_BOUTON	0.6319200208168553			
CAGNWMCNNNGAC_UNKNOWN	0.6305447780518539			
IPA_PAX6_UP	0.6301351078403189			
GO_NEGATIVE_REGULATION_OF_SYNAPTIC_PLASTICITY	0.628113033475701			
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	0.6269063427638359			
NRSF_01	0.6172071446674251			
GO_REGULATION_OF_AMINO_ACID_TRANSPORT	0.6169792571177691			
AAGCACA_MIR218	0.614095037363068			
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	0.6137968856848295			
GO_INTESTINE_SMOOTH_MUSCLE_CONTRACTION	0.613276345558796			
LUCAS_HNF4A_TARGETS_DN	0.6108870138986708			
GO_POSITIVE_REGULATION_OF_AMINE_TRANSPORT	0.6091281011550387			
MIR520G_5P	0.6090793353378896			
GO_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	0.6084031701039306			
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.607986606010588			
GO_AMINE_TRANSPORT	0.6078565990589865			
HEN1_02	0.6074034558196617			
GO_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	0.6046834792457448			
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	0.6036647789526358			
KRAS.KIDNEY_UP.V1_UP	0.6015322280792381			
GO_ENTERIC_NERVOUS_SYSTEM_DEVELOPMENT	0.6011167461481901			
TGCTTTG_MIR330	0.601093907839475			
GO_SYNTAXIN_1_BINDING	0.6003410152001342			
IPA_HES1_DN	0.5990219824655105			
GO_REGULATION_OF_GLUTAMATE_SECRETION	0.5985672657347413			
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	0.5984763192828318			
GO_NEURONAL_DENSE_CORE_VESICLE	0.5967899894980667			
AHR_Q5	0.5966642026900253			
GO_NEURON_PROJECTION_TERMINUS	0.5960002150426366			
GO_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	0.5950492760217413			
GGGGCCC_MIR296	0.5944226944926282			
ZNF501_TARGET_GENES	0.5941526925028582			
RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_DN	0.5931263267228783			
GAGCTGG_MIR337	0.5931224067458096			
RNTCANNRNNYNATTW_UNKNOWN	0.5916363440703208			
GO_SYNAPTIC_VESICLE_MATURATION	0.5914808794432339			
SIGMAR1_TARGET_GENES	0.5912092692916744			
GO_CATECHOLAMINE_SECRETION	0.5911933077728913			
GO_REGULATION_OF_SYNAPTIC_TRANSMISSION_CHOLINERGIC	0.5907145389779619			
MIR592	0.5905666499619471			
GO_POSITIVE_REGULATION_OF_DOPAMINE_SECRETION	0.5904012531856948			
MIR655_5P	0.5899366045516529			
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.5894078548938797			
MIR6502_5P	0.58879690759371			
GO_PRESYNAPTIC_DENSE_CORE_VESICLE_EXOCYTOSIS	0.5885861272754036			
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_UP	0.5879280026495689			
IPA_SALL3_UP	0.5871937735794993			
GO_NORADRENERGIC_NEURON_DIFFERENTIATION	0.586692728789105			
GO_MONOAMINE_TRANSPORT	0.5853247994079022			
GO_CELLULAR_RESPONSE_TO_AMMONIUM_ION	0.5852441411566112			
GTACAGG_MIR486	0.5851877432583076			
MIR1301_5P	0.5845682713881133			
MIR1237_3P	0.581949818313051			
GO_ASSOCIATIVE_LEARNING	0.5805832590727271			
AATGGAG_MIR136	0.58046441991514			
MIR514A_3P_MIR514B_3P	0.5796511811773267			
GO_POSITIVE_REGULATION_OF_GLUTAMATE_SECRETION	0.5793618643921764			
GO_SYNAPTIC_VESICLE_MEMBRANE	0.5786328481045595			
GO_VENTRAL_SPINAL_CORD_INTERNEURON_DIFFERENTIATION	0.5778679955800538			
MIR1179	0.5773518087765843			
GO_DENSE_CORE_GRANULE	0.5768758728974673			
GO_COMMITMENT_OF_NEURONAL_CELL_TO_SPECIFIC_NEURON_TYPE_IN_FOREBRAIN	0.5768660860770317			
GO_SPONTANEOUS_NEUROTRANSMITTER_SECRETION	0.5762244486030538			
IPA_ISL1_DN	0.5751302399687023			
MIR499A_3P	0.5747089186272019			
MIR3137	0.5746525707497442			
MIR499B_3P	0.5744610730902888			
S8_01	0.5739282088393218			
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	0.5736545731329802			
SRY_02	0.5735635879453866			
E2F_01	0.5733467697719066			
CDPCR3HD_01	0.5731970054941252			
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY_INVOLVED_IN_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.5729377353488253			
GO_LOCOMOTOR_RHYTHM	0.5719855226219899			
GO_SEMICIRCULAR_CANAL_MORPHOGENESIS	0.5716766624748018			
GO_NEGATIVE_REGULATION_OF_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY	0.571553339871006			
GO_POSITIVE_REGULATION_OF_AMINO_ACID_TRANSPORT	0.57112386873136			
AHRARNT_01	0.5706992747195376			
MIR4456	0.5704607201344843			
MIR203B_3P	0.5699207387113989			
MIR3202	0.5691205626370881			
GO_REGULATION_OF_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.5691121390306675			
MIER1_TARGET_GENES	0.569040695186602			
GO_CARDIAC_CHAMBER_FORMATION	0.5681307092842152			
AGGCACT_MIR5153P	0.5674126091242867			
DUNNE_TARGETS_OF_AML1_MTG8_FUSION_DN	0.5663051310973579			
BAKKER_FOXO3_TARGETS_UP	0.5658648559959669			
KIM_MYCL1_AMPLIFICATION_TARGETS_UP	0.5658386495501585			
GO_SYNAPSE_MATURATION	0.5657168514263139			
GSE16385_IL4_VS_ROSIGLITAZONE_STIM_MACROPHAGE_UP	0.5656615655839923			
PAX4_03	0.5648262051101833			
MIR4779	0.5646987291663805			
MIR657	0.56467610170557			
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	0.5642138998310671			
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	0.5638008272277604			
IPA_ARX_DN	0.563528822255036			
MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN	0.5628693963053146			
IPA_MECP2_UP	0.5620813319320374			
MIR561_5P	0.5619564222044849			
WANG_LSD1_TARGETS_DN	0.5619316755683007			
CAHOY_NEURONAL	0.5619272377991604			
NKX61_01	0.5615148869360077			
GO_REGULATION_OF_NEURON_MATURATION	0.5609957943939514			
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_UP	0.5594225979772164			
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	0.5593107829337495			
WYAAANNRNNNGCG_UNKNOWN	0.5592935919826388			
GO_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.5590143192922057			
GO_VESICLE_FUSION_TO_PLASMA_MEMBRANE	0.5589918589316643			
BIOCARTA_AMAN_PATHWAY	0.5584804096912266			
GO_REGULATION_OF_DOPAMINE_SECRETION	0.5584595817706579			
GO_CARDIAC_VENTRICLE_FORMATION	0.5580202189933823			
ZF5_01	0.5578233261062964			
REACTOME_POTASSIUM_CHANNELS	0.5576088027548612			
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER	0.5574369497104036			
GO_PARANODAL_JUNCTION_ASSEMBLY	0.5574275157065096			
GO_NEUROTRANSMITTER_TRANSPORT	0.5570434033523856			
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS	0.5570118334864268			
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	0.5569564388630074			
GSE42724_B1_BCELL_VS_PLASMABLAST_DN	0.5569384882556098			
GO_NEGATIVE_REGULATION_OF_VESICLE_FUSION	0.5567392609379029			
