	Score	0.95 MoE	P-Value	Q-Value
REACTOME_RUNX2_REGULATES_GENES_INVOLVED_IN_CELL_MIGRATION	0.47693314066669484			
REACTOME_RUNX2_REGULATES_CHONDROCYTE_MATURATION	0.46208313516327626			
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_MYELOID_CELLS	0.44540030963248717			
GAVIN_FOXP3_TARGETS_CLUSTER_T4	0.4432335603775161			
PID_SMAD2_3NUCLEAR_PATHWAY	0.44218540728982153			
MATSUDA_NATURAL_KILLER_DIFFERENTIATION	0.4402509264099501			
GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_DN	0.43639337189498073			
MIR8074	0.434646488860673			
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	0.43232947210234707			
GO_POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION	0.43113213221490476			
GSE33162_HDAC3_KO_VS_HDAC3_KO_MACROPHAGE_DN	0.4309336428607322			
GSE6875_WT_VS_FOXP3_KO_TREG_UP	0.42984592547786893			
BROWNE_HCMV_INFECTION_8HR_DN	0.42893232712221124			
KEGG_COLORECTAL_CANCER	0.4283968965052917			
GO_MYD88_INDEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.42704682716989756			
GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP	0.4266647967738874			
REACTOME_THE_NLRP3_INFLAMMASOME	0.426159903613824			
RACCACAR_AML_Q6	0.42573776414947223			
GO_CELLULAR_RESPONSE_TO_AMYLOID_BETA	0.4254804584065942			
RODWELL_AGING_KIDNEY_UP	0.4250347884598957			
GO_REGULATION_OF_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY	0.42404291110678033			
GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_DN	0.42390646181607905			
ONO_AML1_TARGETS_DN	0.4225561069548271			
GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	0.42236207857594793			
LEE_EARLY_T_LYMPHOCYTE_DN	0.42043523774102715			
AREB6_04	0.4201877699005225			
GSE17721_LPS_VS_GARDIQUIMOD_12H_BMDC_UP	0.419887831394797			
COREBINDINGFACTOR_Q6	0.4195848668337005			
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_3H_UP	0.419255168481112			
GSE21670_UNTREATED_VS_IL6_TREATED_CD4_TCELL_DN	0.41921728526245405			
HBZ_TARGET_GENES	0.4184890808160124			
IRF_Q6	0.4184175416744605			
GSE45382_UNTREATED_VS_TGFB_TREATED_MACROPHAGES_UP	0.4184015437734682			
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1	0.4178474001503083			
GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN	0.4177823736150453			
GO_RESPONSE_TO_AMYLOID_BETA	0.41753826933050714			
GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_AND_ROSIGLITAZONE_STIM_DN	0.41748731008112294			
GSE36009_WT_VS_NLRP10_KO_DC_UP	0.41718521398335584			
GO_NEGATIVE_REGULATION_OF_VITAMIN_METABOLIC_PROCESS	0.4153976722733138			
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP	0.4144596863066933			
GSE33374_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_DN	0.41359805524467574			
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	0.41319917440411663			
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	0.412997247708877			
GO_ASTROCYTE_CELL_MIGRATION	0.41268070434003296			
KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN	0.41263429718099753			
GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP	0.41247460051955304			
GO_REGULATION_OF_CELL_AGING	0.41143942814235607			
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	0.4107515921215818			
AML_Q6	0.41067185406191803			
IPA_JUN_UP	0.41046053079702854			
GO_BHLH_TRANSCRIPTION_FACTOR_BINDING	0.409920753529938			
GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_DC_DN	0.4098792190423779			
GSE14769_UNSTIM_VS_240MIN_LPS_BMDM_DN	0.4094529434347036			
GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP	0.4092650407369332			
GSE339_CD4POS_VS_CD8POS_DC_IN_CULTURE_UP	0.409117266987387			
GSE17721_PAM3CSK4_VS_CPG_4H_BMDC_DN	0.4087906573738694			
GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_BCELL_DN	0.40852947923985716			
GSE7348_LPS_VS_TOLERIZED_AND_LPS_STIM_MACROPHAGE_DN	0.4084064835410744			
GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP	0.4077060007561736			
GO_REGULATION_OF_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_SIGNALING_PATHWAY	0.4075784139708643			
GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN	0.4073572105346558			
DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_DN	0.4071386461343612			
GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP	0.40702071679161084			
GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.4066439793073526			
GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.4062145212390971			
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX	0.40615310354984735			
GSE22886_NEUTROPHIL_VS_MONOCYTE_DN	0.4056533883226447			
GSE25087_TREG_VS_TCONV_ADULT_UP	0.40549020646647205			
BAKER_HEMATOPOESIS_STAT1_TARGETS	0.4052065225884933			
IRF1_01	0.40424776677648566			
GSE19888_NO_PRETREAT_VS_ADENOSINE_A3R_INHIBITOR_PRETREATED_MAST_CELL_TCELL_MEMBRANES_ACT_DN	0.40402112546806146			
CHICAS_RB1_TARGETS_SENESCENT	0.4032124749473934			
REACTOME_INFLAMMASOMES	0.40294703724705366			
GSE9960_HEALTHY_VS_GRAM_POS_SEPSIS_PBMC_DN	0.4025271203752629			
GSE15930_STIM_VS_STIM_AND_IFNAB_48H_CD8_T_CELL_UP	0.40252620249432913			
KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN	0.4025138500297808			
GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_MDC_UP	0.40248208465609037			
GSE13522_CTRL_VS_T_CRUZI_G_STRAIN_INF_SKIN_UP	0.4024404675187564			
