	Score	0.95 MoE	P-Value	Q-Value
REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS	0.37763681198201243			
GO_POSITIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.376678171144309			
IPA_SIN3B_DN	0.3657557893720414			
REACTOME_FGFR2_ALTERNATIVE_SPLICING	0.36332005012275265			
GO_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT	0.35971283191287284			
GO_MOLTING_CYCLE_PROCESS	0.3568622801829201			
INAMURA_LUNG_CANCER_SCC_UP	0.3551382432873954			
chr15q23	0.3507169635988831			
LANDEMAINE_LUNG_METASTASIS	0.3502261054078032			
GO_REGULATION_OF_HAIR_CYCLE	0.3471196387962318			
REACTOME_SIGNALING_BY_NOTCH2	0.3469051274700652			
GO_REGULATION_OF_SPINDLE_ASSEMBLY	0.3466905518694456			
GO_SIGNAL_TRANSDUCTION_INVOLVED_IN_REGULATION_OF_GENE_EXPRESSION	0.34481207029654914			
GO_NEURAL_FOLD_FORMATION	0.3389004928624222			
REACTOME_NOTCH3_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS	0.336644907794851			
MEISSNER_BRAIN_HCP_WITH_H3K27ME3	0.336210526509764			
REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER	0.3356542497124311			
ZFP82_TARGET_GENES	0.33482157180283983			
GO_BIOLOGICAL_PHASE	0.33478434341617785			
BIOCARTA_CPSF_PATHWAY	0.33447454076871785			
GO_MOLTING_CYCLE	0.3341924806609424			
MARTINEZ_RB1_AND_TP53_TARGETS_DN	0.33339142252096776			
GO_THYMUS_DEVELOPMENT	0.33307340601616237			
GO_NUCLEOSIDE_DIPHOSPHATASE_ACTIVITY	0.33259582560400053			
GO_LUNG_EPITHELIUM_DEVELOPMENT	0.3316630748240199			
GO_HISTONE_H2A_ACETYLATION	0.3315806245908609			
GO_RNA_POLYMERASE_II_REPRESSING_TRANSCRIPTION_FACTOR_BINDING	0.33085280730924477			
GSE6269_HEALTHY_VS_STAPH_PNEUMO_INF_PBMC_UP	0.3294345553876798			
MCCOLLUM_GELDANAMYCIN_RESISTANCE_DN	0.3285942418142155			
GO_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.32830643539878285			
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP	0.3282757881457284			
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.3276091713363025			
MLXIP_TARGET_GENES	0.3263639734364902			
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	0.3247142795163489			
GO_GAP_JUNCTION	0.3243675897266137			
GO_MITOTIC_SPINDLE_ASSEMBLY	0.3236459261251401			
GO_POSITIVE_REGULATION_OF_HAIR_CYCLE	0.32292688252030205			
REACTOME_SIGNALING_BY_NOTCH3	0.3220318541297775			
WDHD1_TARGET_GENES	0.3216847057689194			
GO_HAIR_CELL_DIFFERENTIATION	0.32086560862871416			
REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER	0.320710484949314			
MARTINEZ_TP53_TARGETS_DN	0.32068001491270914			
GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_DEVELOPMENT	0.3199547757307295			
GO_ESTABLISHMENT_OF_BLOOD_BRAIN_BARRIER	0.3187683678694985			
IVANOV_MUTATED_IN_COLON_CANCER	0.3186241063970803			
GO_HAIR_FOLLICLE_MATURATION	0.31779246993539856			
GO_REGULATION_OF_CHROMATIN_BINDING	0.3176532911553438			
GO_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	0.31749655499276425			
GO_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM	0.3174857694116963			
GO_TUBE_FORMATION	0.3174628553802873			
GO_MICROTUBULE_MINUS_END_BINDING	0.3174496758420208			
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	0.3173016410002181			
GO_MECHANORECEPTOR_DIFFERENTIATION	0.3168857957891781			
GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_DN	0.3164069464009547			
WAESCH_ANAPHASE_PROMOTING_COMPLEX	0.31626426773711364			
ZNF579_TARGET_GENES	0.31619470180718473			
GO_NEGATIVE_REGULATION_OF_HAIR_CYCLE	0.3161664865771808			
GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_DN	0.31571575665194407			
GO_EPITHELIAL_TUBE_FORMATION	0.31568660064219145			
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR	0.31565989916247295			
GO_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	0.31550074281722046			
GO_NEURAL_TUBE_FORMATION	0.3154875898922442			
GO_POSITIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.31535597904487944			
CAFFAREL_RESPONSE_TO_THC_8HR_3_UP	0.31489101588287116			
GO_RNA_POLYMERASE_III_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	0.31456439664365093			
GO_MORPHOGENESIS_OF_AN_EPITHELIAL_FOLD	0.3143183075528673			
GO_CARDIOBLAST_PROLIFERATION	0.31415151028873056			
GO_PHOSPHOTRANSFERASE_ACTIVITY_NITROGENOUS_GROUP_AS_ACCEPTOR	0.3141197035865921			
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP	0.314041255928382			
FXR1_TARGET_GENES	0.3138294414036718			
REACTOME_HYDROLYSIS_OF_LPC	0.31377684077239865			
REACTOME_SIGNALING_BY_NOTCH1_T_7_9_NOTCH1_M1580_K2555_TRANSLOCATION_MUTANT	0.31336047508534437			
REACTOME_SIGNALING_BY_NOTCH1	0.3130911872021303			
GO_REGULATION_OF_SPINDLE_ORGANIZATION	0.31305089415347065			
NAGASHIMA_NRG1_SIGNALING_DN	0.3126177786297768			
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP	0.3123776480126699			
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	0.31232465917849284			
IPA_SOX2_DN	0.3122996995186916			
