	Score	0.95 MoE	P-Value	Q-Value
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	0.44894425014543377			
GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	0.4192947627538094			
GO_V_D_J_RECOMBINATION	0.4192411023609698			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K27_SPECIFIC	0.41886004250245			
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	0.4174147403480454			
GO_SWI_SNF_COMPLEX	0.416171514684101			
GO_HISTONE_METHYLATION	0.4148068516418959			
HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP	0.4121608968263199			
MIR6865_3P	0.41201452744477707			
GSE3982_CTRL_VS_LPS_4H_MAC_UP	0.41151747951066575			
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6	0.41149307980376915			
GO_PEPTIDYL_LYSINE_METHYLATION	0.41052591822160256			
GO_HISTONE_H3_K4_METHYLATION	0.4105115426483296			
BIOCARTA_VDR_PATHWAY	0.4103320717167375			
GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP	0.40996320642875755			
MIR6077	0.40778362434293514			
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	0.4073469442249169			
GOLUB_ALL_VS_AML_UP	0.40570051478052505			
E2F1_Q4_01	0.4054577791813373			
E2F_03	0.4048204184122536			
GO_REGULATION_OF_SISTER_CHROMATID_COHESION	0.40401141480172087			
GO_PROTEIN_METHYLATION	0.4037909804653832			
E2F_Q3_01	0.40283484200781017			
GO_METHYLATED_HISTONE_BINDING	0.4024767950765675			
MIR5739	0.40181472834041926			
MARIADASON_RESPONSE_TO_BUTYRATE_SULINDAC_6	0.4011655266746758			
GSE14000_UNSTIM_VS_4H_LPS_DC_UP	0.40047799398886796			
GO_HISTONE_H4_ACETYLATION	0.39960738055752243			
HADDAD_B_LYMPHOCYTE_PROGENITOR	0.39896471602496			
GO_NPBAF_COMPLEX	0.39812586295361174			
MIR653_5P	0.3968479350937892			
GSE21927_UNTREATED_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN	0.39672162393865745			
MIR5192	0.39628339197807955			
GO_HISTONE_H3_K9_METHYLATION	0.3961564229761016			
GO_PCG_PROTEIN_COMPLEX	0.3960155912475598			
ESC_V6.5_UP_EARLY.V1_UP	0.39564312331017565			
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	0.3952176119540672			
E2F_Q3	0.39500955998461434			
E2F_Q6_01	0.3946802975434193			
GO_ORIGIN_RECOGNITION_COMPLEX	0.39427609410759784			
GSE35825_IFNA_VS_IFNG_STIM_MACROPHAGE_DN	0.3941903229746221			
E2F5_TARGET_GENES	0.393744218303767			
PUJANA_BRCA2_PCC_NETWORK	0.3935977910907301			
E2F_Q6	0.39299380771660675			
GO_REGULATION_OF_HISTONE_H3_K4_METHYLATION	0.3928661774338747			
GO_NUCLEOLAR_LARGE_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_I	0.3923936461306413			
GO_METHYLATION	0.39195127648886774			
MIR4796_5P	0.39135332543511425			
GO_MACROMOLECULE_METHYLATION	0.39120257362993577			
GSE9239_CTRL_VS_TNF_INHIBITOR_TREATED_DC_DN	0.39115919889433576			
GO_CHROMATIN_ORGANIZATION	0.391052425984702			
E2F_Q4	0.3910333018930391			
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	0.39097160967424593			
PUJANA_BRCA_CENTERED_NETWORK	0.39071994266607585			
GSE20715_0H_VS_6H_OZONE_TLR4_KO_LUNG_UP	0.3904401662281468			
GO_REGULATION_OF_DNA_DAMAGE_CHECKPOINT	0.3902612012231049			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_UP	0.38972366144373904			
GO_HISTONE_H3_K9_MODIFICATION	0.389472971059958			
GO_G0_TO_G1_TRANSITION	0.38946327207737286			
REACTOME_MISMATCH_REPAIR	0.389457898627622			
GO_DNA_TOPOLOGICAL_CHANGE	0.38932289157476024			
IPA_EBF1_UP	0.3886705115724527			
GO_B_CELL_LINEAGE_COMMITMENT	0.38780674572821966			
GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP	0.38728602323964983			
GO_CHROMATIN_REMODELING	0.38715850985022937			
GO_POSITIVE_REGULATION_OF_HELICASE_ACTIVITY	0.3867395530287515			
SGCGSSAAA_E2F1DP2_01	0.38640018620863953			
GO_TRNA_SPECIFIC_ADENOSINE_DEAMINASE_ACTIVITY	0.38635242672700393			
KEGG_MISMATCH_REPAIR	0.38634172384620724			
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN	0.38625462694117546			
GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.38623389437856			
GO_REGULATION_OF_DNA_METHYLATION	0.38557423573185456			
GO_PROTEIN_DNA_COMPLEX	0.385005969069904			
GSE2706_UNSTIM_VS_2H_LPS_DC_UP	0.38481288208544034			
MIR6132	0.3845270966049018			
MIR4647_MIR4662B	0.38419223573988287			
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.3836078348751482			
GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_UP	0.3834491049888632			
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.383311186557445			
GO_HISTONE_BINDING	0.3830546268169532			
GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP	0.38280552364859527			
GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	0.3827755215821008			
E2F4DP2_01	0.38245578768306443			
E2F1DP1_01	0.38245578768306443			
E2F1DP2_01	0.38245578768306443			
PUJANA_XPRSS_INT_NETWORK	0.38165965680493374			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.3815345037964411			
GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_24H_DN	0.38126056752518234			
E2F_02	0.38113216262491967			
GO_DNA_INTEGRATION	0.38087464553981226			
GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_DN	0.38051186791133884			
GO_CELL_PROLIFERATION_IN_BONE_MARROW	0.38034285301312676			
MIR6507_3P	0.3800722505112018			
GO_GENE_SILENCING	0.38005180290547813			
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_30MIN_DN	0.37969860868354854			
GO_NORADRENERGIC_NEURON_DIFFERENTIATION	0.37928554623535754			
GO_REGULATION_OF_HISTONE_H3_K9_METHYLATION	0.3792601016828225			
IPA_E2F7_DN	0.37880006955163203			
GSE11924_TH2_VS_TH17_CD4_TCELL_DN	0.37875390878698806			
GO_ADENOSINE_DEAMINASE_ACTIVITY	0.37870157962279727			
GO_SINGLE_STRANDED_DNA_HELICASE_ACTIVITY	0.3783797927331943			
PUJANA_CHEK2_PCC_NETWORK	0.37834442714184113			
