	Score	0.95 MoE	P-Value	Q-Value
GO_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	0.6759952113540372			
MIR4489	0.6361693399895171			
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	0.6357089551224726			
MACAEVA_PBMC_RESPONSE_TO_IR	0.6268101421267162			
WARTERS_RESPONSE_TO_IR_SKIN	0.6062439719946817			
GO_MONOCYTE_AGGREGATION	0.6057985966904552			
IPA_WT1_DN	0.604867844335488			
GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP	0.604301394216441			
IPA_FUS_DN	0.6022814056351542			
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING	0.600631712018089			
GO_NECROPTOTIC_SIGNALING_PATHWAY	0.5998307454621051			
IPA_NRF1_DN	0.5977251849370847			
GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN	0.5951092059380112			
BIOCARTA_PML_PATHWAY	0.5878085379981833			
BCAT.100_UP.V1_DN	0.5863816390175565			
NIKOLSKY_OVERCONNECTED_IN_BREAST_CANCER	0.5850328477711029			
GSE17974_0H_VS_72H_IN_VITRO_ACT_CD4_TCELL_UP	0.5850219936548827			
GO_NEGATIVE_REGULATION_OF_VITAMIN_D_BIOSYNTHETIC_PROCESS	0.5819249743943086			
GO_UV_DAMAGE_EXCISION_REPAIR	0.581850098347079			
IPA_HOXC13_UP	0.5789395291331761			
GSE29615_DAY3_VS_DAY7_LAIV_FLU_VACCINE_PBMC_UP	0.5753126897964981			
GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING	0.5725994556451938			
IPA_STAT5B_DN	0.571818712075728			
MIR3923	0.5718015217069091			
GO_NEGATIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	0.5701123431813016			
MCCABE_HOXC6_TARGETS_UP	0.5694641321186856			
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	0.5683756003742688			
chr5p14	0.5683363516709581			
GO_MONOCYTE_CHEMOTACTIC_PROTEIN_1_PRODUCTION	0.5671700084008495			
GO_PURINE_CONTAINING_COMPOUND_TRANSMEMBRANE_TRANSPORT	0.5662335697662781			
TAAYNRNNTCC_UNKNOWN	0.5649061538742852			
MIR4687_3P	0.5645474854032411			
GO_FEVER_GENERATION	0.5644910047392322			
