	Score	0.95 MoE	P-Value	Q-Value
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.5354078118917817			
GO_PEPTIDYL_LYSINE_METHYLATION	0.5336334188533122			
GO_CHROMATIN_ORGANIZATION	0.5234712829238062			
GO_HISTONE_H4_ACETYLATION	0.5218107761470717			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.5194492216929184			
GO_REGULATION_OF_HISTONE_METHYLATION	0.5166501301706657			
GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	0.5144433736960583			
GO_HISTONE_H3_K4_METHYLATION	0.5135731910579725			
GO_REGULATION_OF_CHROMATIN_ORGANIZATION	0.5110398141139388			
GO_COVALENT_CHROMATIN_MODIFICATION	0.5103481540949493			
REACTOME_CHROMATIN_MODIFYING_ENZYMES	0.5072473332251313			
GO_CHROMATIN_REMODELING	0.5070020802573436			
GO_SEQUENCE_SPECIFIC_DNA_BINDING	0.5051459899922368			
GO_HISTONE_METHYLATION	0.5037429201675776			
PRC2_SUZ12_UP.V1_DN	0.5024544878177922			
HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP	0.500393721383704			
GO_PEPTIDYL_LYSINE_ACETYLATION	0.4992830984785811			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_UP	0.49856161540648153			
GO_G0_TO_G1_TRANSITION	0.49822785375883083			
GO_DNA_TOPOLOGICAL_CHANGE	0.4973043295000733			
GO_HISTONE_BINDING	0.49622446511826146			
GSE3982_DC_VS_NKCELL_DN	0.4956020036043204			
GO_SEQUENCE_SPECIFIC_DOUBLE_STRANDED_DNA_BINDING	0.49497919691479914			
GO_DOUBLE_STRANDED_DNA_BINDING	0.4939866850236412			
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	0.49362657897500656			
GO_NEGATIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	0.4931602276855015			
GO_NEGATIVE_REGULATION_OF_CHROMATIN_ORGANIZATION	0.4930609474089119			
GO_PROTEIN_METHYLATION	0.49301054087349955			
GO_DNA_MODIFICATION	0.49138700649968337			
GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY	0.4913850864455943			
GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	0.4905014025145258			
GO_DNA_METHYLATION_OR_DEMETHYLATION	0.4904789395377987			
GO_MRNA_SPLICE_SITE_SELECTION	0.4899626353619033			
GO_ATPASE_COMPLEX	0.4835693334295491			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.48316900268300333			
GO_REGULATION_OF_HISTONE_H3_K4_METHYLATION	0.48299155641006036			
GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC	0.4829107107542139			
GO_DNA_METHYLATION	0.4815483188461222			
GO_HISTONE_DEACETYLASE_COMPLEX	0.48126148043274747			
GO_CIS_REGULATORY_REGION_BINDING	0.48120064641813737			
MARIADASON_RESPONSE_TO_BUTYRATE_SULINDAC_4	0.48075695562515186			
GO_DNA_DEPENDENT_ATPASE_ACTIVITY	0.4805292143289281			
GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	0.47873207803344825			
GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	0.4780943736355673			
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	0.47794639523671173			
GO_DNA_HELICASE_ACTIVITY	0.4778801675283591			
GO_RNA_POLYMERASE_I_REGULATORY_REGION_DNA_BINDING	0.47787897486069414			
GO_SWI_SNF_COMPLEX	0.47773690690519427			
GO_MACROMOLECULE_METHYLATION	0.47768191499881574			
