	Score	0.95 MoE	P-Value	Q-Value
GO_METANEPHRIC_MESENCHYMAL_CELL_DIFFERENTIATION	0.4769320165015463			
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_UP	0.4751141972797068			
HECKER_IFNB1_TARGETS	0.46848863701722987			
GSE22589_SIV_VS_HIV_AND_SIV_INFECTED_DC_UP	0.4622078709709674			
GSE10325_MYELOID_VS_LUPUS_MYELOID_DN	0.4591724429873753			
GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_DN	0.4556512317040256			
GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_DN	0.4542678831441313			
GSE22886_CTRL_VS_LPS_24H_DC_DN	0.4542118682735815			
BOWIE_RESPONSE_TO_TAMOXIFEN	0.452172164681723			
GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_DN	0.4507063179397261			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN	0.45037144645684046			
GSE42021_TREG_VS_TCONV_PLN_UP	0.44960346912975013			
GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP	0.44944640670082026			
GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN	0.4466107676276365			
GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP	0.44650316189697997			
GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN	0.4463654226693766			
GSE14000_UNSTIM_VS_4H_LPS_DC_DN	0.44614105324377856			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN	0.44577467822165834			
GSE10325_BCELL_VS_LUPUS_BCELL_DN	0.4451541113444296			
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	0.44503400849599156			
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP	0.4445677164794068			
GSE3565_DUSP1_VS_WT_SPLENOCYTES_UP	0.444560115292329			
GO_CCR5_CHEMOKINE_RECEPTOR_BINDING	0.4444362150684094			
GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN	0.44348413391550046			
BROWNE_INTERFERON_RESPONSIVE_GENES	0.44314677601662683			
UROSEVIC_RESPONSE_TO_IMIQUIMOD	0.4425167679327572			
GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP	0.4422241352257232			
EINAV_INTERFERON_SIGNATURE_IN_CANCER	0.44092721171308974			
IPA_IRF3_UP	0.439846553123271			
BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE	0.4392685368611605			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_DN	0.4391016644690063			
BOWIE_RESPONSE_TO_EXTRACELLULAR_MATRIX	0.4385257172156235			
GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_DN	0.43777453903476277			
XU_HGF_TARGETS_INDUCED_BY_AKT1_6HR	0.4377479560469276			
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.4377151406684474			
RADAEVA_RESPONSE_TO_IFNA1_UP	0.4374539891378546			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_ELK1_KO_DP_THYMOCYTES_UP	0.43674650554612243			
GSE37534_UNTREATED_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN	0.4364653882179148			
MEK_UP.V1_DN	0.43532728854129776			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_DN	0.4352330750391934			
GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_UP	0.4352092593794122			
GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN	0.43505514053484007			
GRANDVAUX_IFN_RESPONSE_NOT_VIA_IRF3	0.4339553354515703			
GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_UP	0.43375516420828353			
DER_IFN_ALPHA_RESPONSE_UP	0.43368861653764146			
GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_DN	0.4336052348299936			
GSE22589_HEALTHY_VS_HIV_INFECTED_DC_DN	0.43352284065893865			
GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_DN	0.4335148774287909			
GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_DN	0.4332543823758985			
GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN	0.4331250434416216			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_DN	0.43291998748062926			
GSE37533_PPARG1_FOXP3_VS_PPARG2_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_DN	0.4322428007950504			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_18H_DN	0.43125571019635334			
IPA_STAT1_UP	0.43124217065902504			
IPA_TRIM24_DN	0.43115342803089346			
IPA_IRF7_UP	0.43087531109265054			
GSE41978_ID2_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	0.4306440078875607			
GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN	0.43026313685764084			
KRASNOSELSKAYA_ILF3_TARGETS_UP	0.42901669383460056			
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_DN	0.42812381483677764			
GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP	0.4274443728308818			
GSE17721_0.5H_VS_8H_CPG_BMDC_DN	0.4265972926276165			
GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_DN	0.42653942369980413			
YAN_ESCAPE_FROM_ANOIKIS	0.42635016732473713			
GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN	0.42618644065081346			
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN	0.42604267257061346			
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	0.42596466198049643			
GO_INTERLEUKIN_35_MEDIATED_SIGNALING_PATHWAY	0.4257620663534911			
GO_CELLULAR_RESPONSE_TO_EXOGENOUS_DSRNA	0.42538904244588976			
JISON_SICKLE_CELL_DISEASE_UP	0.42457671240146394			
GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_DN	0.4242583620348868			
GSE9960_HEALTHY_VS_GRAM_POS_SEPSIS_PBMC_DN	0.4229338165906259			
GSE34006_WT_VS_A2AR_KO_TREG_DN	0.4228836392783927			
GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP	0.42203154612807614			
GSE42021_TREG_PLN_VS_TREG_PRECURSORS_THYMUS_DN	0.421575297035428			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_DN	0.42147705864661966			
GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_UP	0.4208851799138885			
GSE38681_WT_VS_LYL1_KO_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_DN	0.420866985935224			
DER_IFN_GAMMA_RESPONSE_UP	0.42070666035615917			
GSE3565_CTRL_VS_LPS_INJECTED_SPLENOCYTES_UP	0.4206910173817491			
GSE22140_GERMFREE_VS_SPF_ARTHRITIC_MOUSE_CD4_TCELL_UP	0.4205892625206726			
GSE36527_CD69_NEG_VS_POS_TREG_CD62L_LOS_KLRG1_NEG_UP	0.4203052640275656			
MOSERLE_IFNA_RESPONSE	0.42018678595753584			
GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_DN	0.41999870936092387			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_DN	0.4193852981461562			
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN	0.4191008943407254			
GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_UP	0.418351058112869			
DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_UP	0.4177252232451399			
GSE25088_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DN	0.4176551462601307			
GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN	0.4172836489893879			
GSE2706_2H_VS_8H_R848_STIM_DC_DN	0.4170915305893903			
DER_IFN_BETA_RESPONSE_UP	0.4169175677461076			
GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_DN	0.4168581353672207			
GSE42724_MEMORY_BCELL_VS_PLASMABLAST_UP	0.4168132915027381			
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP	0.4164831448522585			
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	0.4160361956252679			
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP	0.4154981420140808			
GSE2706_R848_VS_LPS_8H_STIM_DC_DN	0.41513807577408046			
LTE2_UP.V1_DN	0.41496088398329806			
BROCKE_APOPTOSIS_REVERSED_BY_IL6	0.414701198665254			
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_DN	0.4139606080194009			
GO_RESPONSE_TO_INTERFERON_GAMMA	0.4139024932766741			
GSE39382_IL3_VS_IL3_IL33_TREATED_MAST_CELL_DN	0.4136490214284885			
GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10POS_BONE_MARROW_DN	0.41355289629467445			
GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_DN	0.41354675949162273			
IPA_STAT2_UP	0.41314532943322796			
GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP	0.41310925664667947			
GSE8835_CD4_VS_CD8_TCELL_CLL_PATIENT_UP	0.412511377178701			
XU_AKT1_TARGETS_6HR	0.41237934243244073			
GSE43863_NAIVE_VS_MEMORY_TH1_CD4_TCELL_D150_LCMV_UP	0.41205731022433817			
GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP	0.4114113187401438			
GO_DEFENSE_RESPONSE_TO_VIRUS	0.4109052719428927			
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	0.4107510650844128			
GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN	0.41051644692833467			
GSE19401_UNSTIM_VS_PAM2CSK4_STIM_FOLLICULAR_DC_DN	0.41036398641466976			
