	Score	0.95 MoE	P-Value	Q-Value
GO_HISTONE_H3_K4_METHYLATION	0.49911502248371614			
GO_DEMETHYLASE_ACTIVITY	0.48487481696583473			
GO_PEPTIDYL_LYSINE_METHYLATION	0.4761526021880916			
REACTOME_CHROMATIN_MODIFYING_ENZYMES	0.4737735643231157			
GO_HISTONE_H4_ACETYLATION	0.4711464497450162			
GO_CHROMATIN_REMODELING	0.46961878302534893			
GO_HISTONE_METHYLATION	0.4686856257045317			
GO_MLL3_4_COMPLEX	0.4660057118150437			
GO_HISTONE_METHYLTRANSFERASE_COMPLEX	0.4648150121664631			
GO_CHROMATIN_DISASSEMBLY	0.46463112815566465			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.46246345048634735			
GO_HISTONE_DEMETHYLASE_ACTIVITY_H3_K9_SPECIFIC	0.4620348553873388			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.46018904793924614			
GO_REGULATION_OF_HISTONE_METHYLATION	0.4593734177056368			
GO_NUCLEOLAR_LARGE_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_I	0.45695914052683606			
GO_PROTEIN_METHYLATION	0.45646608124161414			
GO_HISTONE_DEMETHYLASE_ACTIVITY	0.45633862493936145			
GO_REGULATION_OF_HISTONE_H3_K4_METHYLATION	0.45534115573075107			
GO_REGULATION_OF_TRANSCRIPTION_OF_NUCLEOLAR_LARGE_RRNA_BY_RNA_POLYMERASE_I	0.45523713583770575			
GO_CHROMATIN_ORGANIZATION	0.4544644750841516			
GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.4534860446820779			
GO_MACROMOLECULE_METHYLATION	0.452508685122378			
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	0.45070924353782105			
GO_REGULATION_OF_CHROMATIN_ORGANIZATION	0.4491169893852314			
GO_HISTONE_H4_K5_ACETYLATION	0.44891029143746913			
GSE14000_UNSTIM_VS_4H_LPS_DC_UP	0.44725515262155274			
GO_SIN3_COMPLEX	0.44722439023193444			
GO_HISTONE_DEACETYLASE_COMPLEX	0.44717352312937797			
GO_METHYLATION	0.44607359099082555			
