	Score	0.95 MoE	P-Value	Q-Value
GO_ADHERENS_JUNCTION	0.6191578842937429			
WGGAATGY_TEF1_Q6	0.6112103174829916			
GO_HIPPO_SIGNALING	0.6073730849585691			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.6053697901185373			
GO_CELL_JUNCTION_ORGANIZATION	0.6046021232190277			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.6040458708148874			
PID_INTEGRIN4_PATHWAY	0.6022582071749154			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.6010332904374464			
GO_EXOCRINE_SYSTEM_DEVELOPMENT	0.5986387612703166			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.5981746897537455			
GO_LAMININ_COMPLEX	0.5970716718747638			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5969917514530898			
GO_REGULATION_OF_EMBRYONIC_DEVELOPMENT	0.5968595243970254			
REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION	0.5967187659918035			
GO_SCHWANN_CELL_DIFFERENTIATION	0.5962181173237239			
GO_CELL_JUNCTION_ASSEMBLY	0.5961070007578432			
GO_TISSUE_MORPHOGENESIS	0.5956810812023184			
GO_MORPHOGENESIS_OF_AN_EPITHELIUM	0.5956545345797144			
REACTOME_SIGNALING_BY_HIPPO	0.5955592550121809			
BOYLAN_MULTIPLE_MYELOMA_D_UP	0.5938470391805435			
GO_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	0.5920602852270793			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5915844111505436			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.5912388710669773			
REACTOME_SIGNALING_BY_MET	0.5912254071076395			
GO_POSITIVE_REGULATION_OF_STEM_CELL_DIFFERENTIATION	0.5890344333801634			
GO_CELL_CELL_JUNCTION	0.5890074692045115			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.5882682256902569			
GO_APICAL_JUNCTION_COMPLEX	0.58781545007841			
GO_BRANCHING_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS	0.587765840135707			
REACTOME_LAMININ_INTERACTIONS	0.5871941683101372			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.5866668974583142			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.5865052615374411			
GO_ANIMAL_ORGAN_MORPHOGENESIS	0.5852419264806653			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5843422019739902			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.5835662322236304			
GO_NEURAL_CREST_CELL_MIGRATION	0.5832721613819792			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.5830475514852156			
GO_TRANSCRIPTION_REGULATOR_RECRUITING_ACTIVITY	0.5821590613027936			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.5816937597330235			
GO_COSTAMERE	0.5810541298388499			
GO_CANONICAL_WNT_SIGNALING_PATHWAY	0.5810316979229055			
GO_CADHERIN_BINDING	0.5807512225153096			
GO_EPITHELIAL_TUBE_MORPHOGENESIS	0.5803145952407335			
SESTO_RESPONSE_TO_UV_C8	0.580022341262029			
GO_BASEMENT_MEMBRANE	0.5797022506755742			
REACTOME_SYNDECAN_INTERACTIONS	0.5793970114483816			
STEIN_ESRRA_TARGETS_DN	0.5793740776658306			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.5786077998612092			
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	0.5786050331711527			
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.5779740000111347			
REACTOME_HS_GAG_BIOSYNTHESIS	0.5773202480846892			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.5768546292035255			
GO_BASEMENT_MEMBRANE_ORGANIZATION	0.5766463635427999			
GO_MESONEPHROS_DEVELOPMENT	0.5765527922499363			
GO_EMBRYONIC_MORPHOGENESIS	0.5765443688695969			
PASINI_SUZ12_TARGETS_DN	0.5762010888583153			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.5758065485501858			
MARTINEZ_RB1_AND_TP53_TARGETS_DN	0.5758060833139508			
GSE42021_TREG_VS_TCONV_PLN_DN	0.5753537474538045			
GO_SCHWANN_CELL_DEVELOPMENT	0.575260862592613			
REACTOME_CELL_CELL_COMMUNICATION	0.5747023532161826			
GO_TUBE_FORMATION	0.5745120933544452			
GO_KIDNEY_EPITHELIUM_DEVELOPMENT	0.5743039835849317			
GO_EPITHELIUM_DEVELOPMENT	0.5740698153812264			
GO_RESPIRATORY_SYSTEM_DEVELOPMENT	0.5737424838239907			
GO_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	0.5733337012105505			
NABA_BASEMENT_MEMBRANES	0.5732433053068259			
GO_SARCOLEMMA	0.57304980136249			
GO_NEURAL_CREST_CELL_DIFFERENTIATION	0.5725991726942128			
GO_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM	0.5714691733272508			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.5712473605688412			
GO_REPRODUCTIVE_SYSTEM_DEVELOPMENT	0.5710746649814387			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.5709135922772163			
