	Score	0.95 MoE	P-Value	Q-Value
IPA_PSAP_DN	0.7973483265678005			
GO_POSITIVE_REGULATION_OF_TOOTH_MINERALIZATION	0.6537513747168037			
MIR10398_3P	0.5992498909222355			
GO_REGULATION_OF_TOOTH_MINERALIZATION	0.5759899538339679			
REACTOME_NEGATIVE_REGULATION_OF_ACTIVITY_OF_TFAP2_AP_2_FAMILY_TRANSCRIPTION_FACTORS	0.5673316849735902			
GO_CRANIAL_NERVE_FORMATION	0.5497955632507718			
GO_POSITIVE_REGULATION_OF_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	0.532972277710823			
IPA_RBL2_UP	0.5061955079806035			
GO_REGULATION_OF_SECONDARY_METABOLIC_PROCESS	0.4773944813348588			
GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_AND_A3R_INH_PRETREAT_IN_MAST_CELL_DN	0.47719536710047866			
GO_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	0.4771432526469941			
GO_RETINA_LAYER_FORMATION	0.47328690302252724			
GO_REGULATION_OF_MELANIN_BIOSYNTHETIC_PROCESS	0.47321759289449633			
REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS	0.46371701289256045			
REACTOME_TFAP2A_ACTS_AS_A_TRANSCRIPTIONAL_REPRESSOR_DURING_RETINOIC_ACID_INDUCED_CELL_DIFFERENTIATION	0.46322609175090396			
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS	0.46138220807182195			
GO_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM	0.45661427123881565			
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	0.4558612127961361			
GO_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY	0.4555010227746596			
