	Score	0.95 MoE	P-Value	Q-Value
GSE3982_DC_VS_BCELL_DN	0.587533459672356			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.5849348076543777			
GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN	0.5773023901677444			
GSE21379_WT_VS_SAP_KO_CD4_TCELL_DN	0.5686853303298945			
GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP	0.5681784150439592			
GSE10325_BCELL_VS_MYELOID_UP	0.5673149657025288			
GSE3982_BCELL_VS_NKCELL_UP	0.5670896665349683			
GSE29618_BCELL_VS_MONOCYTE_UP	0.56459311752497			
GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_UP	0.5631331292590619			
GSE45881_CXCR6HI_VS_CXCR1LO_COLONIC_LAMINA_PROPRIA_DN	0.5629149884836387			
KLEIN_PRIMARY_EFFUSION_LYMPHOMA_DN	0.5628326300370545			
IPA_PRDM1_DN	0.5612292966931601			
GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP	0.561089416869853			
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP	0.5600103992048686			
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	0.5591210725481338			
GSE3982_MAC_VS_BCELL_DN	0.5580889300621695			
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	0.5580764420891485			
GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_UP	0.5577826333089145			
GO_IMMUNOGLOBULIN_COMPLEX	0.556917691158851			
GSE3982_BCELL_VS_BASOPHIL_UP	0.5555436860120365			
BASSO_CD40_SIGNALING_DN	0.5553881751847954			
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	0.5552697910535629			
IPA_PAX5_UP	0.5548004098872611			
GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP	0.5546968781046828			
GO_IMMUNOGLOBULIN_PRODUCTION	0.5542625622519377			
GSE29618_BCELL_VS_MDC_UP	0.5541683425133392			
GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.5536725756566886			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.5535610594325691			
GSE25088_CTRL_VS_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DN	0.5527198667405676			
GSE22886_NAIVE_BCELL_VS_DC_UP	0.5524304805557811			
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8_TCELL_IFNAR_KO_DN	0.5511617783449669			
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN	0.5502006006582165			
MAML1_TARGET_GENES	0.5501910924405083			
GSE3982_MAST_CELL_VS_BCELL_DN	0.5500399962888853			
GO_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	0.5494645635900766			
KEGG_PRIMARY_IMMUNODEFICIENCY	0.5494003709565041			
GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.5493682767788317			
SIG_BCR_SIGNALING_PATHWAY	0.5492494725178485			
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	0.5492022556687801			
GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_DN	0.5488689034255148			
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	0.5487997128687166			
PID_BCR_5PATHWAY	0.5483364777079686			
SHIN_B_CELL_LYMPHOMA_CLUSTER_9	0.5477206792305134			
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.5474702493509247			
GSE10325_CD4_TCELL_VS_BCELL_DN	0.5471553816071497			
GSE40274_FOXP3_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.546914624681874			
GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_UP	0.5465770687454458			
ZHAN_EARLY_DIFFERENTIATION_GENES_DN	0.546338747158591			
GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_UP	0.5462625652471473			
GSE3982_DC_VS_NKCELL_DN	0.5461919421657007			
GSE6269_STAPH_AUREUS_VS_STREP_PNEUMO_INF_PBMC_DN	0.5459538710399761			
GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_UP	0.5456990281400103			
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.5452461170082059			
GO_T_CELL_DIFFERENTIATION_IN_THYMUS	0.5451800311527432			
BORCZUK_MALIGNANT_MESOTHELIOMA_DN	0.5445869613047951			
GSE3982_MEMORY_CD4_TCELL_VS_BCELL_DN	0.5444469695172893			
GSE22886_TCELL_VS_BCELL_NAIVE_DN	0.5442393123891628			
GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP	0.5439082599572134			
GSE3982_EOSINOPHIL_VS_BCELL_DN	0.543261272005979			
IPA_EBF1_UP	0.5432229505972328			
GSE29618_MONOCYTE_VS_PDC_DN	0.543144406449211			
GSE3982_MAC_VS_TH2_DN	0.5428577804441983			
ZHAN_LATE_DIFFERENTIATION_GENES_DN	0.5427908214155173			
GSE5503_MLN_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN	0.5426316237411287			
IPA_SMARCC1_UP	0.5426002592669465			
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP	0.5424386897249105			
GO_NEGATIVE_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.54232706826846			
GSE6269_HEALTHY_VS_FLU_INF_PBMC_UP	0.5417423426115174			
GSE16266_LPS_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP	0.54163004876576			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_GERMLINE_RECOMBINATION_WITHIN_A_SINGLE_LOCUS	0.5413415298964441			
GSE369_SOCS3_KO_VS_WT_LIVER_POST_IL6_INJECTION_DN	0.5401758895413254			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	0.53979978593354			
MIKKELSEN_MCV6_ICP_WITH_H3K27ME3	0.53966859303559			
GO_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	0.5395939502051373			
GO_B_CELL_PROLIFERATION	0.5392149578082046			
GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	0.5391488351275586			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN	0.5390402072934235			
SMIRNOV_RESPONSE_TO_IR_6HR_DN	0.539026574365544			
GO_TOLL_LIKE_RECEPTOR_7_SIGNALING_PATHWAY	0.5387698317492807			
GO_B_CELL_ACTIVATION	0.5386575389666449			
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_30MIN_DN	0.5377174422917114			
REACTOME_CD22_MEDIATED_BCR_REGULATION	0.5376389976558577			
SU_THYMUS	0.5373411700156495			
GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_UP	0.5369049498405017			
HOLLMANN_APOPTOSIS_VIA_CD40_UP	0.5366601872054251			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN	0.5364578135509219			
GSE40273_EOS_KO_VS_WT_TREG_DN	0.536326964266809			
ZNF597_TARGET_GENES	0.5362102685467911			
GSE32901_NAIVE_VS_TH1_CD4_TCELL_DN	0.5359188556590396			
GO_SOMATIC_RECOMBINATION_OF_IMMUNOGLOBULIN_GENE_SEGMENTS	0.5357008628923642			
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.5353379554733867			
GO_B_CELL_DIFFERENTIATION	0.535159895678287			
IPA_ID3_DN	0.5348993460672828			
GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_NK_CELL_UP	0.5346178645354049			
GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_UP	0.5346087184761293			
