	Score	0.95 MoE	P-Value	Q-Value
IPA_POU2F1_UP	0.7014463403029277			
IPA_CHD8_UP	0.6903414081735391			
IPA_PA2G4_DN	0.6702151472172978			
DOANE_RESPONSE_TO_ANDROGEN_UP	0.6378617979856692			
LIU_PROSTATE_CANCER_UP	0.6241912516558052			
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	0.6177967210584075			
IPA_GATA2_UP	0.6170453133478984			
GO_AMMONIUM_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.6165641621890302			
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	0.6122823541570814			
DOANE_BREAST_CANCER_CLASSES_UP	0.6008136854518854			
GO_PHOSPHATIDYLSERINE_METABOLIC_PROCESS	0.5940015155253827			
LIU_CDX2_TARGETS_UP	0.593921798880702			
SERVITJA_ISLET_HNF1A_TARGETS_DN	0.5923373838272858			
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_1H_UP	0.5892773713442515			
IPA_HNF1A_UP	0.5876102474657795			
LEF1_UP.V1_DN	0.5864658425050749			
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	0.5861952654643381			
WALLACE_PROSTATE_CANCER_UP	0.5852641777855806			
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP	0.5846294382456605			
GO_ACETYLCHOLINE_METABOLIC_PROCESS	0.58424496179789			
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	0.583698003382827			
GLI1_TARGET_GENES	0.5836478639859791			
GO_ORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.5829929200996299			
GO_ARACHIDONATE_COA_LIGASE_ACTIVITY	0.5823015079831743			
GO_REGULATION_OF_SOMITOGENESIS	0.5820937833876225			
IPA_PPARD_UP	0.581798372399202			
KIM_LIVER_CANCER_POOR_SURVIVAL_DN	0.580972751180507			
ZHENG_FOXP3_TARGETS_IN_THYMUS_DN	0.5773735500219147			
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	0.5764493713138007			
GO_PHOSPHOLIPASE_A2_ACTIVITY	0.5742856099251069			
REACTOME_DECTIN_2_FAMILY	0.5740464767776925			
IPA_CLOCK_UP	0.5720299707407438			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.5705709501636845			
SABATES_COLORECTAL_ADENOMA_UP	0.5698389902131872			
WATANABE_COLON_CANCER_MSI_VS_MSS_DN	0.5697379892974853			
GO_PYRIMIDINE_CONTAINING_COMPOUND_TRANSMEMBRANE_TRANSPORT	0.5697319725854327			
IPA_CDX2_UP	0.5695446691886653			
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	0.5695371429931221			
DLX2_TARGET_GENES	0.5692950710589328			
IPA_FOXA2_DN	0.5668236478177479			
