	Score	0.95 MoE	P-Value	Q-Value
JI_CARCINOGENESIS_BY_KRAS_AND_STK11_UP	0.6819650581317198			
HUPER_BREAST_BASAL_VS_LUMINAL_UP	0.6492433757155732			
PID_DELTA_NP63_PATHWAY	0.6364654890557931			
GO_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.6342242132135778			
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_SEVERAL_ADDITIONAL_CELL_DEATH_GENES_WHOSE_SPECIFIC_ROLES_IN_P53_DEPENDENT_APOPTOSIS_REMAIN_UNCERTAIN	0.6335757859879831			
GO_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	0.6312302427513414			
IPA_TP63_UP	0.6266521191152579			
GO_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT	0.6221080144508945			
GO_REGULATION_OF_CYTOLYSIS_IN_OTHER_ORGANISM	0.6186070256550409			
GO_CYTOLYSIS_IN_OTHER_ORGANISM	0.6140918174632721			
MIR6886_5P	0.6139914074840543			
INAMURA_LUNG_CANCER_SCC_UP	0.6130606630795726			
GO_MOLTING_CYCLE_PROCESS	0.6128281401999978			
GO_MOLTING_CYCLE	0.6122263241382122			
WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_DN	0.6035299122803078			
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.6029605154069054			
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ASSOCIATION_WITH_CO_FACTORS	0.5996663292901423			
GO_CORNIFIED_ENVELOPE	0.5973457016824224			
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.5932164740815656			
KMT2D_TARGET_GENES	0.5916798092737233			
GO_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	0.5909932000939219			
GO_REGULATION_OF_HAIR_CYCLE	0.5883949059971227			
JAEGER_METASTASIS_DN	0.5875269212782879			
HOLLERN_SQUAMOUS_BREAST_TUMOR	0.586210056157409			
GO_NEGATIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.5831291043113277			
RICKMAN_METASTASIS_DN	0.5810613009675365			
NAGASHIMA_NRG1_SIGNALING_DN	0.5802299392244646			
GO_EPIDERMIS_MORPHOGENESIS	0.5794419431263674			
GO_POSITIVE_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	0.5771293575411127			
GO_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	0.5767194910132448			
GO_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	0.5766517165081283			
C_MYC_Q16158_TARGET_GENES	0.576619671754425			
GO_SKIN_DEVELOPMENT	0.5763930792273754			
IPA_OVOL1_UP	0.5762087601763368			
GO_POSITIVE_REGULATION_OF_HAIR_CYCLE	0.5760115375880113			
GO_EPIDERMIS_DEVELOPMENT	0.5753223393140496			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.5729404098342404			
HUMMERICH_BENIGN_SKIN_TUMOR_UP	0.5712614333363641			
ONDER_CDH1_TARGETS_2_DN	0.5711424911534672			
GO_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY	0.5685783833759371			
IPA_GLI2_DN	0.5685732733444215			
GO_KERATINOCYTE_DIFFERENTIATION	0.5674425737850954			
GO_POSITIVE_REGULATION_OF_FIBROBLAST_APOPTOTIC_PROCESS	0.566685988649372			
SIRNA_EIF4GI_UP	0.5661053217130558			
SIMBULAN_UV_RESPONSE_NORMAL_DN	0.5651911117456746			
CROMER_METASTASIS_DN	0.5644081053734706			
GO_NEGATIVE_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	0.5642840247697819			
GO_CORNIFICATION	0.5637344875809653			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_DN	0.5612964110396805			
GO_POSITIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.5604895454744143			
GO_EPIDERMAL_CELL_DIFFERENTIATION	0.5596839180126614			
IPA_GSC_DN	0.558737485027118			
GO_REGULATION_OF_WATER_LOSS_VIA_SKIN	0.5587187530385991			
LIU_CDX2_TARGETS_DN	0.5581207137450674			
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	0.5574136367865808			
GO_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE	0.554501913924278			
GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_AND_A3R_INH_PRETREAT_IN_MAST_CELL_DN	0.5516467745790586			
GO_REGULATION_OF_KILLING_OF_CELLS_OF_OTHER_ORGANISM	0.5505972116978652			
KRAS.50_UP.V1_DN	0.5485332875695846			
GO_NEGATIVE_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY	0.5478882889186353			
MURAKAMI_UV_RESPONSE_1HR_UP	0.5471760441933399			
GO_EPITHELIUM_DEVELOPMENT	0.5470209197033484			
GO_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION	0.546732882350845			
PID_REG_GR_PATHWAY	0.5460450902539272			
LINDGREN_BLADDER_CANCER_CLUSTER_3_DN	0.545979597127106			
GSE19888_CTRL_VS_T_CELL_MEMBRANES_ACT_MAST_CELL_DN	0.544692312206087			
PID_TAP63_PATHWAY	0.5442981693320034			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.5434935150580802			
WANG_ESOPHAGUS_CANCER_VS_NORMAL_DN	0.5431986380662429			
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CASPASE_ACTIVATORS_AND_CASPASES	0.5430629737658312			
GO_KERATINIZATION	0.5413238110059914			
CSHL1_TARGET_GENES	0.538226639733922			
LINDGREN_BLADDER_CANCER_CLUSTER_1_UP	0.5380519350904177			
GO_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY	0.5377266010306604			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5376053777267179			
ENK_UV_RESPONSE_EPIDERMIS_UP	0.5368784086219375			
GO_SKELETAL_MUSCLE_SATELLITE_CELL_ACTIVATION	0.536797150154667			
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_DN	0.5357965350819118			
GO_STRUCTURAL_CONSTITUENT_OF_SKIN_EPIDERMIS	0.5336054217043562			
ENK_UV_RESPONSE_EPIDERMIS_DN	0.5331884505747121			
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY	0.5331124060533583			
GO_KERATINOCYTE_PROLIFERATION	0.5327429295135799			
GO_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY_INVOLVED_IN_APOPTOTIC_PROCESS	0.5327234813040755			
GO_BIOLOGICAL_PHASE	0.5322551505819062			
GO_NEGATIVE_REGULATION_OF_CYTOLYSIS	0.5319644721466765			
REACTOME_KERATINIZATION	0.5307164125235717			
GO_EPITHELIAL_CELL_DIFFERENTIATION	0.5289131773543517			
RICKMAN_HEAD_AND_NECK_CANCER_C	0.528030002517573			
GO_ODONTOGENESIS_OF_DENTIN_CONTAINING_TOOTH	0.5280167879448153			
MARTINEZ_TP53_TARGETS_DN	0.5275789524216027			
IPA_BNIP3_UP	0.5274254641546642			
GO_HEMIDESMOSOME_ASSEMBLY	0.5268390208935518			
GO_INTERMEDIATE_FILAMENT_BASED_PROCESS	0.5264552660016775			
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.5252956175184815			
TBK1.DF_DN	0.5240295865210507			
GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_DN	0.5238230920898841			
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.5233343378556762			
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.522940968450967			
PYEON_HPV_POSITIVE_TUMORS_DN	0.5224562543450784			
IPA_BRCA1_UP	0.5222746724785007			
GO_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION	0.5221181863674923			
GO_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	0.5217208259132431			
NAKAMURA_METASTASIS_MODEL_UP	0.5212982626588631			
SESTO_RESPONSE_TO_UV_C8	0.5211870200634598			
GO_AMELOGENESIS	0.5211634880877797			
GO_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	0.5204488796463778			
GO_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OSMOTIC_STRESS	0.5199737613580095			
GO_NAIL_DEVELOPMENT	0.5186494053031401			
GO_PEPTIDE_CROSS_LINKING	0.5183424659895853			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5175570510280347			
GO_HAIR_FOLLICLE_MATURATION	0.5163812615229662			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.5158316144040184			
P53_DECAMER_Q2	0.5158303306716547			
KRAS.LUNG_UP.V1_DN	0.5150663400164307			
GO_NEGATIVE_REGULATION_OF_LIPASE_ACTIVITY	0.5150426626966991			
GSE27092_WT_VS_HDAC7_PHOSPHO_DEFICIENT_CD8_TCELL_UP	0.515042548189227			
