	Score	0.95 MoE	P-Value	Q-Value
chr11p12	0.41476757355296495			
GO_B_CELL_LINEAGE_COMMITMENT	0.40436565359520876			
GO_V_D_J_RECOMBINATION	0.3934588679919074			
GO_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX	0.39098216759731375			
GO_HISTONE_THREONINE_PHOSPHORYLATION	0.38676901469620234			
GO_HISTONE_THREONINE_KINASE_ACTIVITY	0.38676901469620234			
GO_PROTEIN_AUTOUBIQUITINATION	0.38228023002494876			
GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_COMPLEX	0.37836609523297093			
ZHAN_V1_LATE_DIFFERENTIATION_GENES_DN	0.37790496000547785			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_GERMLINE_RECOMBINATION_WITHIN_A_SINGLE_LOCUS	0.3774645422049992			
DER_IFN_GAMMA_RESPONSE_DN	0.37592469235485565			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	0.37575931129888646			
IPA_PAX2_DN	0.3751829227403375			
GO_PROTEIN_DNA_COMPLEX	0.37509689147983005			
GO_G_PROTEIN_COUPLED_RECEPTOR_KINASE_ACTIVITY	0.3748452128466355			
GO_REGULATION_OF_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY	0.37453594535925233			
NUNODA_RESPONSE_TO_DASATINIB_IMATINIB_UP	0.37367402541502687			
ONO_FOXP3_TARGETS_DN	0.37306895502942483			
GO_NMDA_GLUTAMATE_RECEPTOR_ACTIVITY	0.37244099840251216			
LEE_TARGETS_OF_PTCH1_AND_SUFU_UP	0.37076448856862093			
GO_EUKARYOTIC_48S_PREINITIATION_COMPLEX	0.3693840438287832			
ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_DN	0.3677613260305519			
GO_CELL_PROLIFERATION_IN_BONE_MARROW	0.36730979303994893			
GO_POSITIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION	0.3666442832528411			
GO_S_ADENOSYL_L_METHIONINE_BINDING	0.36637785519540217			
GO_TRANSLATION_PREINITIATION_COMPLEX	0.36363712965290806			
ARID5B_TARGET_GENES	0.36294540170917267			
GO_HISTONE_H3_K36_TRIMETHYLATION	0.3625255163699406			
GO_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX	0.36238693475569034			
GO_POSITIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY	0.36163225547128874			
chr11p11	0.36114874065721114			
GO_SOMATIC_DIVERSIFICATION_OF_T_CELL_RECEPTOR_GENES	0.3606554236443556			
GO_POSITIVE_REGULATION_OF_CELL_PROLIFERATION_IN_BONE_MARROW	0.36033893792566213			
GO_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY	0.3592197864713958			
GO_TRANSFERASE_COMPLEX_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS	0.3578733305201518			
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.35706779457961907			
BIOCARTA_PAR1_PATHWAY	0.3568473911629473			
GO_SOMATIC_RECOMBINATION_OF_IMMUNOGLOBULIN_GENE_SEGMENTS	0.3566630004962009			
GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_UP	0.35564060493470734			
GO_REGULATION_OF_HISTONE_METHYLATION	0.35460505109075985			
GO_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	0.3545328389910637			
IPA_ID3_DN	0.35398895062243335			
GO_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY	0.3533169109218268			
GO_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX_EIF3M	0.35327605850265564			
GO_POSITIVE_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	0.35302526099888903			
MA_MYELOID_DIFFERENTIATION_UP	0.352633174647688			
GSE14026_TH1_VS_TH17_UP	0.35177119113064176			
MIR8053	0.35167719062182873			
GO_REGULATION_OF_HISTONE_H3_K36_METHYLATION	0.35132566081541916			
GO_POLY_A_PLUS_MRNA_EXPORT_FROM_NUCLEUS	0.3510818805907631			
GO_HISTONE_H3_K4_METHYLATION	0.35084915822462015			
GSE3982_DC_VS_EFF_MEMORY_CD4_TCELL_DN	0.35046432356117535			
GO_POSITIVE_REGULATION_OF_DNA_RECOMBINATION	0.34999966515452985			
GO_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_CYCLIC_AMIDINES	0.3493775650222059			
HELLER_HDAC_TARGETS_DN	0.3491014933738431			
GO_MRNA_3_SPLICE_SITE_RECOGNITION	0.3490936649800794			
IPA_DDB2_DN	0.3487028623878515			
GO_REGULATION_OF_HISTONE_H2B_UBIQUITINATION	0.3481328568743158			
GO_NONASSOCIATIVE_LEARNING	0.3479818000336999			
PID_IL2_PI3K_PATHWAY	0.34763078968980654			
PID_TCR_JNK_PATHWAY	0.34754420897831645			
PID_IL2_1PATHWAY	0.34750515867199566			
BIOCARTA_IGF1MTOR_PATHWAY	0.34704615980297604			
GO_SEQUENCE_SPECIFIC_DOUBLE_STRANDED_DNA_BINDING	0.34688646544280033			
GO_NUCLEAR_TRANSCRIPTION_FACTOR_COMPLEX	0.3463897687453			
GSE14350_TREG_VS_TEFF_UP	0.3462638391479899			
GO_SEQUENCE_SPECIFIC_DNA_BINDING	0.34624479903406685			
GO_IMMUNOGLOBULIN_V_D_J_RECOMBINATION	0.3462399100787822			
BIOCARTA_PLC_PATHWAY	0.346095804512789			
