	Score	0.95 MoE	P-Value	Q-Value
GO_PHARYNGEAL_ARCH_ARTERY_MORPHOGENESIS	0.6727566535006784			
ROESSLER_LIVER_CANCER_METASTASIS_DN	0.6663558128767458			
FOXD3_TARGET_GENES	0.6396227270735011			
ZHENG_FOXP3_TARGETS_DN	0.637320088263449			
GO_INTERLEUKIN_13_SECRETION	0.6259934073097423			
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MDC_DN	0.6168363166087367			
KRCTCNNNNMANAGC_UNKNOWN	0.6127343519289039			
GO_NEGATIVE_REGULATION_OF_MYELINATION	0.6079294733030259			
GO_GALACTOSE_CATABOLIC_PROCESS	0.6044889694015554			
GO_INTERLEUKIN_10_SECRETION	0.6003503115558939			
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_13_SECRETION	0.584968595300274			
IWANAGA_CARCINOGENESIS_BY_KRAS_UP	0.5848184692173668			
GO_REGULATION_OF_DEFENSE_RESPONSE_TO_BACTERIUM	0.5846512474140908			
GO_PALMITOYLTRANSFERASE_ACTIVITY	0.5845670257460461			
GSE24210_IL35_TREATED_VS_RESTING_TREG_DN	0.5844167206364379			
GO_PSEUDOPODIUM_ORGANIZATION	0.5809183494058116			
DAZARD_UV_RESPONSE_CLUSTER_G1	0.5798928435892441			
GO_REGULATION_OF_MEMBRANE_INVAGINATION	0.5775228333586359			
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION	0.5769144735420403			
REACTOME_TYSND1_CLEAVES_PEROXISOMAL_PROTEINS	0.5718373939937209			
MOROSETTI_FACIOSCAPULOHUMERAL_MUSCULAR_DISTROPHY_DN	0.5716599429790271			
IPA_TEF_UP	0.5701263730750125			
LEF1_UP.V1_DN	0.568962438790208			
GSE14908_RESTING_VS_HDM_STIM_CD4_TCELL_ATOPIC_PATIENT_DN	0.5684205197083516			
GO_PROTEIN_PALMITOYLATION	0.5679319787485944			
GO_REGULATION_OF_INTERLEUKIN_10_SECRETION	0.567859617574136			
SMID_BREAST_CANCER_LUMINAL_B_UP	0.5676478205145106			
GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_DN	0.5672610242981944			
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	0.5668043183358299			
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_6	0.566586231917133			
GO_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION	0.5639033459283055			
HEIDENBLAD_AMPLICON_12P11_12_DN	0.5614564628815192			
GSE17721_LPS_VS_POLYIC_4H_BMDC_UP	0.5614309413749792			
LINDGREN_BLADDER_CANCER_CLUSTER_2A_UP	0.5614117268650163			
GSE37532_WT_VS_PPARG_KO_LN_TREG_DN	0.561192771659122			
FARMER_BREAST_CANCER_CLUSTER_5	0.5610243634715805			
FONTAINE_FOLLICULAR_THYROID_ADENOMA_UP	0.5605804505169373			
DOANE_BREAST_CANCER_ESR1_UP	0.5604836430813218			
GO_NEGATIVE_REGULATION_OF_CHEMOKINE_SECRETION	0.5604468901179426			
GO_PHOSPHATIDYLINOSITOL_3_KINASE_COMPLEX_CLASS_III	0.5585573993754132			
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP	0.5581018899661663			
REACTOME_SEMA4D_MEDIATED_INHIBITION_OF_CELL_ATTACHMENT_AND_MIGRATION	0.5574485742351889			
ZNF292_TARGET_GENES	0.5574094617033944			
GO_S_ACYLTRANSFERASE_ACTIVITY	0.5570266282270548			
GO_POSITIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	0.5560120226025362			
REACTOME_REACTIONS_SPECIFIC_TO_THE_COMPLEX_N_GLYCAN_SYNTHESIS_PATHWAY	0.5559472050873298			
GSE17580_TREG_VS_TEFF_S_MANSONI_INF_UP	0.5555842921595207			
GO_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT	0.5544403580182535			
SWEET_LUNG_CANCER_KRAS_UP	0.55435207728794			
GO_NEGATIVE_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY	0.5543494444642696			
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_9	0.5541701151233113			
ZHAN_MULTIPLE_MYELOMA_SPIKED	0.5535263556749027			
GO_NEGATIVE_REGULATION_OF_HAIR_CYCLE	0.5523524275058451			
GO_STRUCTURAL_CONSTITUENT_OF_MYELIN_SHEATH	0.5516431594825348			
LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN	0.5500706520940943			
GO_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	0.5491515042330603			
GSE3039_ALPHAALPHA_CD8_TCELL_VS_B1_BCELL_UP	0.5488590465347596			
GO_GALACTOSE_CATABOLIC_PROCESS_VIA_UDP_GALACTOSE	0.5483401186031218			
MIR4727_3P	0.5480531009346911			
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	0.5466743661044399			
GO_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION	0.5465816025841507			
GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_UP	0.5464418797111303			
GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_UP	0.5462066716777949			
LEIN_CHOROID_PLEXUS_MARKERS	0.5458146984186686			
GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DN	0.5451721793611872			
chr10q23	0.5449921497838063			
GO_PEPTIDASE_INHIBITOR_COMPLEX	0.5449864660867887			
IPA_ELF5_DN	0.5448698074764662			
GSE17721_LPS_VS_GARDIQUIMOD_1H_BMDC_DN	0.5446418881772465			
NOUSHMEHR_GBM_SILENCED_BY_METHYLATION	0.5445192268788237			
GO_AXON_HILLOCK	0.544188911804908			
GO_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_BACTERIUM	0.5437092512777586			
GO_POSITIVE_REGULATION_OF_NK_T_CELL_ACTIVATION	0.5436407972342143			
GSE41867_NAIVE_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP	0.5434301440684072			
GO_NEGATIVE_REGULATION_OF_PROTEIN_KINASE_ACTIVITY_BY_REGULATION_OF_PROTEIN_PHOSPHORYLATION	0.542772378214562			
KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	0.5427054229413749			
GO_PROTEIN_POLYMERIZATION	0.5412828172879359			
GO_CLATHRIN_COAT_ASSEMBLY	0.5411247382677637			
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_GRAN_MONO_PROGENITOR_DN	0.5410066959416882			
MEISSNER_NPC_HCP_WITH_H3_UNMETHYLATED	0.5409598450522032			
GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_UP	0.5407744857114503			
NOJIMA_SFRP2_TARGETS_DN	0.5406865596458723			
CREIGHTON_AKT1_SIGNALING_VIA_MTOR_UP	0.5405220931278868			
GSE339_CD4POS_VS_CD8POS_DC_IN_CULTURE_DN	0.540255513120428			
GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_HET_TCONV_DN	0.5401155299803968			
GO_KERATINOCYTE_PROLIFERATION	0.5400568842337456			
GO_CORTICAL_ACTIN_CYTOSKELETON	0.5399669575889595			
LIM_MAMMARY_STEM_CELL_DN	0.5393984452824666			
IPA_REL_DN	0.5382159805643512			
GO_MICROVILLUS_MEMBRANE	0.5379819418565477			
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_UP	0.5378653193932673			
GO_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	0.5375314896558838			
GSE13887_ACT_CD4_VS_NO_TREATED_CD4_TCELL_UP	0.5374057517688248			
GO_ACTIVIN_RECEPTOR_BINDING	0.5372404709457003			
IPA_PAX3_UP	0.5372275757986874			
DODD_NASOPHARYNGEAL_CARCINOMA_UP	0.5371283311660442			
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	0.537099308285465			
SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP	0.5368874385699371			
GO_ACTIN_FILAMENT_SEVERING	0.5368014414774432			
MCBRYAN_PUBERTAL_BREAST_5_6WK_UP	0.5364884721337269			
LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT	0.5362541950563918			
GO_GROWTH_FACTOR_ACTIVITY	0.5362395888001006			
GO_RETINAL_BIPOLAR_NEURON_DIFFERENTIATION	0.5361456868497342			
EGFR_UP.V1_DN	0.5359137881216635			
PID_ERBB_NETWORK_PATHWAY	0.5358323935241786			
VANDESLUIS_COMMD1_TARGETS_GROUP_3_UP	0.5356564982976117			
GO_REGULATION_OF_PSEUDOPODIUM_ASSEMBLY	0.5356184928773926			
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	0.5354638753801982			
GO_ACTIN_FILAMENT_POLYMERIZATION	0.5352218625803901			
REACTOME_METHIONINE_SALVAGE_PATHWAY	0.535092944452218			
GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_24H_IFNG_STIM_UP	0.5350788783823889			
GO_POSITIVE_REGULATION_OF_PHAGOCYTOSIS_ENGULFMENT	0.534573223932161			
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_INTERFERON_GAMMA	0.5344181791855803			
GO_HOPS_COMPLEX	0.5332500274862078			
GO_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS	0.5332029942735292			
GO_POSITIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION	0.5331837202486237			
GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_VISCERAL_ADIPOSE_TISSUE_UP	0.5328001717777827			
HOLLMANN_APOPTOSIS_VIA_CD40_DN	0.5327962006189538			
DORSAM_HOXA9_TARGETS_DN	0.5327927723709398			
GO_REGULATION_OF_PROTEIN_POLYMERIZATION	0.5318302411105			
GO_REGULATION_OF_NK_T_CELL_ACTIVATION	0.5318239624855695			
MILICIC_FAMILIAL_ADENOMATOUS_POLYPOSIS_UP	0.5315638470601223			
GO_CELL_JUNCTION_MAINTENANCE	0.5313789862755143			
GSE40493_BCL6_KO_VS_WT_TREG_UP	0.5312589350684194			
IPA_BCL3_UP	0.5311978863956283			
ELLWOOD_MYC_TARGETS_DN	0.5311075700748344			
GO_NEGATIVE_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	0.531075388947978			
GO_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION	0.5308122539546035			
GSE25123_WT_VS_PPARG_KO_MACROPHAGE_ROSIGLITAZONE_STIM_DN	0.5307868512179357			
ZHANG_GATA6_TARGETS_UP	0.530685987320936			
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.5306735424915002			
LEE_LIVER_CANCER_MYC_UP	0.5306614738416331			
GTCTACC_MIR379	0.5305834080101867			
GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY15_EFFECTOR_CD8_TCELL_DN	0.5305731705712831			
GO_LATERAL_PLASMA_MEMBRANE	0.5303717316471085			
chr7p11	0.5296153461364094			
OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	0.5295910124588387			
GO_MITOTIC_SPINDLE_ASTRAL_MICROTUBULE	0.5295310613815775			
GO_RETINOIC_ACID_METABOLIC_PROCESS	0.5293480997805124			
GO_INTERLEUKIN_5_SECRETION	0.5292944880109152			
AP1_Q6_01	0.5290557826768398			
GO_POSITIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY	0.5289821727439848			
GSE3982_MAC_VS_NEUTROPHIL_UP	0.5287488746197475			
COLDREN_GEFITINIB_RESISTANCE_DN	0.5287457668180605			
SCHAEFFER_SOX9_TARGETS_IN_PROSTATE_DEVELOPMENT_UP	0.5286893077695974			
GO_LONG_CHAIN_FATTY_ACYL_COA_BINDING	0.527853495069051			
GO_RETINOL_BINDING	0.5277280353664406			
DELACROIX_RAR_TARGETS_UP	0.527546864681472			
REACTOME_ERBB2_REGULATES_CELL_MOTILITY	0.527190555229922			
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.5271580115381143			
GSE27859_MACROPHAGE_VS_DC_DN	0.5270551885552764			
GO_MYRISTOYL_COA_HYDROLASE_ACTIVITY	0.5268637797057292			
ROVERSI_GLIOMA_COPY_NUMBER_UP	0.5268244634928475			
TOMLINS_METASTASIS_DN	0.5267724583523682			
GO_LUNG_SECRETORY_CELL_DIFFERENTIATION	0.5267498130252194			
MIR3134	0.5264496053211682			
GSE3039_ALPHABETA_CD8_TCELL_VS_B2_BCELL_DN	0.5260452337371981			
GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_PROLIFERATION	0.5260006560669597			
GSE17721_0.5H_VS_4H_GARDIQUIMOD_BMDC_UP	0.5257820992859831			
GO_INTERLEUKIN_13_PRODUCTION	0.5255144219436753			
GO_REGULATION_OF_CELL_FATE_COMMITMENT	0.525118224711961			
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	0.5249633912714178			
GO_ESCRT_III_COMPLEX	0.5249538927130378			
IPA_PLAG1_UP	0.5245652480048131			
SMID_BREAST_CANCER_BASAL_DN	0.5243881220872035			
GO_TRANSCYTOSIS	0.5243180400647425			
IPA_TFE3_DN	0.5242342940928014			
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.5241838374642834			
SEIDEN_ONCOGENESIS_BY_MET	0.5237063444952735			
GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.5234083365274161			
LIM_MAMMARY_LUMINAL_MATURE_UP	0.5230437172763207			
ZHAN_MULTIPLE_MYELOMA_CD1_DN	0.5227452818736337			
RICKMAN_HEAD_AND_NECK_CANCER_C	0.5227238148797759			
BOYAULT_LIVER_CANCER_SUBCLASS_G6_DN	0.5226503310407582			
WIKMAN_ASBESTOS_LUNG_CANCER_UP	0.5225166354604607			
GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_UP	0.5217211903186202			
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	0.5216492163455875			
GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_UP	0.5214856513278199			
GO_FHF_COMPLEX	0.5213379560048366			
GO_HISTONE_H2A_K119_MONOUBIQUITINATION	0.5212274541356402			
GO_INDOLE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	0.5207854663257243			
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN	0.5207845507259056			
RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN	0.5204125958171456			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_UP	0.5202751228401369			
GO_CUTICULAR_PLATE	0.5202701381308527			
GO_PURINE_NUCLEOSIDE_BIOSYNTHETIC_PROCESS	0.520218086661638			
GSE40068_CXCR5NEG_BCL6NEG_CD4_TCELL_VS_CXCR5POS_BCL6NEG_TFH_UP	0.5200175701172648			
GO_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION	0.5199784921800186			
IPA_ZEB1_DN	0.5198382741268981			
MARTINEZ_TP53_TARGETS_DN	0.5197853128505754			
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_DN	0.5197385534276934			
REACTOME_GALACTOSE_CATABOLISM	0.5195325687662249			
GO_RECEPTOR_INHIBITOR_ACTIVITY	0.5194564614091777			
GO_REGULATION_OF_NK_T_CELL_PROLIFERATION	0.5192626186697411			
GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_UP	0.5191015628188121			
GSE7459_UNTREATED_VS_IL6_TREATED_ACT_CD4_TCELL_DN	0.5184210395917058			
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP	0.518145208764346			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_DN	0.517225736645784			
GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_UP	0.5168874727284832			
GO_ARP2_3_PROTEIN_COMPLEX	0.5168392218646841			
GSE3994_WT_VS_PAC1_KO_ACTIVATED_MAST_CELL_UP	0.5166678967264473			
FONTAINE_THYROID_TUMOR_UNCERTAIN_MALIGNANCY_UP	0.5165344038151017			
MIKKELSEN_ES_ICP_WITH_H3K4ME3	0.5164771022462332			
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	0.5163746344227638			
GO_POSITIVE_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	0.5163561643663959			
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING	0.515866328458119			
GO_CHROMOSOME_MOVEMENT_TOWARDS_SPINDLE_POLE	0.5156319870874304			
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	0.5156038111518474			
GSE20366_CD103_POS_VS_CD103_KLRG1_DP_TREG_DN	0.5154814418001487			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.5153975171052964			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION	0.5153683165049571			
GO_RECEPTOR_CATABOLIC_PROCESS	0.5152758045092366			
GO_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	0.5150446143658287			
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_FETAL_DN	0.514842099339195			
GO_REGULATION_OF_OOGENESIS	0.51449363435884			
CHANG_IMMORTALIZED_BY_HPV31_DN	0.5144765817538306			
GO_LIPID_DROPLET_ORGANIZATION	0.5144741075216246			
GO_ALPHA_CATENIN_BINDING	0.5143063839130358			
AKT_UP.V1_UP	0.5142603328333109			
chr7p21	0.5142582665792225			
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	0.5142569296186142			
GSE19941_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_DN	0.5141373960675109			
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	0.5139955362386303			
GSE1925_CTRL_VS_24H_IFNG_STIM_IFNG_PRIMED_MACROPHAGE_DN	0.5138455700509675			
GSE3982_EFF_MEMORY_VS_CENT_MEMORY_CD4_TCELL_DN	0.5137525783600093			
REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS	0.5134577211671372			
GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_DN	0.5134388678542463			
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.5133330678053812			
GO_DYNEIN_LIGHT_INTERMEDIATE_CHAIN_BINDING	0.5130905072020371			
GO_ENDOPEPTIDASE_ACTIVITY	0.5129545918736026			
WANG_METASTASIS_OF_BREAST_CANCER	0.5127840146106359			
GO_FUCOSE_METABOLIC_PROCESS	0.5127354914100313			
BCAT_BILD_ET_AL_UP	0.5126746547737245			
GO_REGULATION_OF_EOSINOPHIL_MIGRATION	0.5126559637957633			
IPA_PBX2_UP	0.5126233284937171			
GO_GALACTOSE_METABOLIC_PROCESS	0.5124481058650705			
GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_PHOSPHORUS_NITROGEN_BONDS	0.5123869610143791			
GO_CONNEXIN_COMPLEX	0.5123862773757785			
GO_POSITIVE_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION	0.5123066840766759			
GO_CILIARY_ROOTLET	0.5122997262072603			
GO_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	0.5121640222422429			
GSE16697_CD4_TCELL_VS_TFH_CD4_TCELL_DN	0.5119884691271597			
KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_DN	0.511727409339697			
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_PRO_BCELL_UP	0.5116163276730158			
YAMASHITA_LIVER_CANCER_STEM_CELL_UP	0.5113618146911338			
GO_MACROMOLECULE_DEPALMITOYLATION	0.5113082300984579			
GO_PALMITOYL_PROTEIN_HYDROLASE_ACTIVITY	0.5113082300984579			
HOLLERN_EMT_BREAST_TUMOR_DN	0.5111532549165534			
GO_NK_T_CELL_ACTIVATION	0.5108647146343664			
ZWANG_EGF_INTERVAL_DN	0.5108220983530465			
GO_LIPID_DROPLET	0.5107491598089846			
GSE17721_LPS_VS_GARDIQUIMOD_8H_BMDC_DN	0.5105560357204222			
AIGNER_ZEB1_TARGETS	0.5104656153687213			
P53_DN.V1_UP	0.5104605780426787			
IPA_FEV_UP	0.5104129726100833			
CAGNWMCNNNGAC_UNKNOWN	0.5103474754940899			
