	Score	0.95 MoE	P-Value	Q-Value
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A5	0.3987747624719686			
GO_SUGAR_MEDIATED_SIGNALING_PATHWAY	0.39838159769718684			
GO_CARBOHYDRATE_MEDIATED_SIGNALING	0.39411779680758435			
GO_AZOLE_TRANSMEMBRANE_TRANSPORT	0.3928554508075053			
GO_L_ARGININE_TRANSPORT	0.390548564242921			
GO_ARGININE_TRANSPORT	0.3878529468930056			
MIR6069	0.38707585866577826			
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.3847709856855307			
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	0.3802613304950041			
GO_BASIC_AMINO_ACID_TRANSPORT	0.37881531644391536			
GO_REGULATION_OF_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING	0.37642625735412727			
GO_HEME_TRANSPORTER_ACTIVITY	0.37309723254295335			
GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	0.3703568396162275			
GO_BASIC_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	0.3692943260317034			
GO_INTERMEDIATE_DENSITY_LIPOPROTEIN_PARTICLE	0.3673024160319313			
GO_RESPONSE_TO_SELENIUM_ION	0.3668458787969568			
GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP	0.3657821145024061			
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III	0.36572611781260117			
GO_GATOR2_COMPLEX	0.3649277621153738			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_UP	0.3637811385777971			
GO_PHOSPHOLIPID_CATABOLIC_PROCESS	0.36359002336377577			
GO_INTESTINAL_LIPID_ABSORPTION	0.3627837692945339			
GO_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	0.3622740260445231			
COUP_DR1_Q6	0.36052882502566724			
MIR214_5P	0.3602328295889738			
GO_LIPOPROTEIN_LOCALIZATION	0.359760348979328			
GO_ARGININE_TRANSMEMBRANE_TRANSPORT	0.3596570762416907			
GO_L_ARGININE_TRANSMEMBRANE_TRANSPORT	0.3596570762416907			
DR1_Q3	0.3590911524161276			
PID_HNF3B_PATHWAY	0.358210383971536			
GO_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	0.35721611510095364			
GO_HEME_TRANSPORT	0.35673308522756014			
REACTOME_VLDL_CLEARANCE	0.35666206231278347			
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	0.35664989332752783			
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_13	0.35593139476049596			
GO_INHIBITORY_SYNAPSE_ASSEMBLY	0.35541035009708255			
IPA_KDM6B_DN	0.35374156972436577			
MIR1227_5P	0.3535361214267425			
GO_RNA_POLYMERASE_I_REGULATORY_REGION_DNA_BINDING	0.35348096064687184			
GO_RESPONSE_TO_LITHIUM_ION	0.352376930254477			
BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN	0.35095124452870347			
GO_PHOSPHOLIPID_EFFLUX	0.35033406823152236			
GO_REGULATION_OF_INTESTINAL_ABSORPTION	0.3499034048441956			
GO_FOLATE_TRANSMEMBRANE_TRANSPORT	0.3497316855225707			
GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_LIPASE_ACTIVITY	0.3484802132933931			
GO_CELL_MIGRATION_INVOLVED_IN_GASTRULATION	0.34768336321585097			
GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	0.34645575454198696			
GO_PHOSPHOLIPID_HOMEOSTASIS	0.34595027154940855			
GO_VITAMIN_TRANSMEMBRANE_TRANSPORT	0.34538023729347733			
GO_VENTRICULAR_COMPACT_MYOCARDIUM_MORPHOGENESIS	0.3447496300983634			
GO_BASE_EXCISION_REPAIR_GAP_FILLING	0.344631788550698			
GO_FATTY_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.34421241945015213			
IPA_ARNTL_DN	0.34413096973018725			
IPA_MTA2_DN	0.34413096973018725			
GO_PROTEIN_CONTAINING_COMPLEX_REMODELING	0.34409709641615327			
GO_SPHERICAL_HIGH_DENSITY_LIPOPROTEIN_PARTICLE	0.34361671667328225			
GO_LIPID_TRANSFER_ACTIVITY	0.3434098887122716			
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.3430449856293001			
GO_LIPOPROTEIN_CATABOLIC_PROCESS	0.34231138615439927			
ZNF785_TARGET_GENES	0.34223610376767866			
GO_FOLATE_IMPORT_ACROSS_PLASMA_MEMBRANE	0.34194831873254583			
GO_REGULATION_OF_LIPID_CATABOLIC_PROCESS	0.34157396105406973			
GO_NEGATIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.34146578927449306			
GO_PHOSPHATIDYLCHOLINE_STEROL_O_ACYLTRANSFERASE_ACTIVATOR_ACTIVITY	0.3414604361009437			
GO_REGULATION_OF_INTESTINAL_CHOLESTEROL_ABSORPTION	0.3412128445307198			
GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	0.3411275452339797			
GO_BLOOD_COAGULATION_INTRINSIC_PATHWAY	0.34102546529468414			
GO_POSITIVE_REGULATION_OF_CHOLESTEROL_ESTERIFICATION	0.3409130555865065			
BIOCARTA_EXTRINSIC_PATHWAY	0.3408786008250481			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_DN	0.3406665640599561			
HNF4_DR1_Q3	0.34045240650415204			
GO_LIPID_DIGESTION	0.3400910727268834			
GO_REGULATION_OF_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	0.3400643093979424			
GO_NUCLEOSIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.339639537353508			
GO_REGULATION_OF_CHOLESTEROL_ESTERIFICATION	0.33926108167501245			
GO_STEROL_TRANSPORTER_ACTIVITY	0.33872734893643136			
GO_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE	0.3384405515286033			
GO_NEUROTRANSMITTER_CATABOLIC_PROCESS	0.33834043152096027			
GO_PROTEIN_ACTIVATION_CASCADE	0.33821963506698016			
GO_SEH1_ASSOCIATED_COMPLEX	0.337884004139918			
MIR6798_5P	0.33767712661849736			
GO_CHYLOMICRON	0.3372755444249217			
GSE2706_UNSTIM_VS_2H_LPS_DC_UP	0.3372655074804356			
IPA_THRB_UP	0.3371772978779701			
REACTOME_HDL_REMODELING	0.33713049444740917			
GO_MECHANOSENSORY_BEHAVIOR	0.33704519775799596			
REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	0.3370127691411427			
GO_MRNA_5_SPLICE_SITE_RECOGNITION	0.3368918070957939			
GO_SPECTRIN_ASSOCIATED_CYTOSKELETON	0.33683572311825843			
GO_STEROID_ESTERIFICATION	0.3367326252021153			
IPA_FOXP1_UP	0.33655234053591293			
GO_AZOLE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.3365429446093979			
IPA_HEYL_UP	0.33645194996858696			
DING_LUNG_CANCER_BY_MUTATION_RATE	0.3362500431292841			
GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING	0.33603410031520053			
IPA_NR0B2_DN	0.33578420720994756			
IPA_NR5A1_UP	0.33578285340095376			
GO_GLYCEROPHOSPHOLIPID_CATABOLIC_PROCESS	0.33577827693336554			
GO_HISTIDINE_METABOLIC_PROCESS	0.3356802633861983			
GO_RESPONSE_TO_LIGHT_INTENSITY	0.3354502725597179			
GO_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING	0.33532957013852877			
GO_TRANSFERASE_ACTIVITY_TRANSFERRING_SULFUR_CONTAINING_GROUPS	0.33462115384468			
LEE_LIVER_CANCER_ACOX1_DN	0.33446084469665444			
GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	0.3343171693453666			
IPA_PSIP1_DN	0.33421684377973565			
RASHI_RESPONSE_TO_IONIZING_RADIATION_3	0.33411022043445654			
MIR553	0.3339709791099533			
GO_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	0.33372584143142675			
GO_REGULATION_OF_BILE_ACID_METABOLIC_PROCESS	0.3334021694224669			
GO_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	0.3327837846394797			
GO_TRIGLYCERIDE_RICH_PLASMA_LIPOPROTEIN_PARTICLE	0.33262528111210493			
GO_REGULATION_OF_HISTONE_H4_ACETYLATION	0.3323973513264928			
GO_HFE_TRANSFERRIN_RECEPTOR_COMPLEX	0.3322100593119221			
GO_VITAMIN_BINDING	0.33201004695893777			
GO_REGULATION_OF_EXTRACELLULAR_MATRIX_CONSTITUENT_SECRETION	0.3319323967536633			
GSE40274_FOXP3_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.33187174221542115			
GO_HEPARAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS_ENZYMATIC_MODIFICATION	0.3315979870401225			
GO_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.3315919885182725			
HALLMARK_KRAS_SIGNALING_DN	0.3315473357733438			
REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES	0.3315332870659346			
GO_NORADRENERGIC_NEURON_DIFFERENTIATION	0.3314795781575707			
GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.33127889222858004			
KRAS.BREAST_UP.V1_DN	0.3312442620583852			
GO_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS	0.33093653591462413			
GO_PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE	0.33080406404797935			
GO_MAINTENANCE_OF_ORGANELLE_LOCATION	0.33067009453419244			
IPA_HDAC8_UP	0.33060595185649866			
GO_LIPID_HYDROXYLATION	0.3305723582517335			
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	0.3305105067371074			
REACTOME_CHYLOMICRON_REMODELING	0.33042657014828464			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K27_SPECIFIC	0.33034905543762855			
GO_NEGATIVE_REGULATION_OF_MRNA_PROCESSING	0.3303432839714543			
GO_MIRNA_BINDING	0.3301080815435123			
GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP	0.33008854712688424			
GO_CHYLOMICRON_REMODELING	0.3299718227180773			
GO_BLOOD_MICROPARTICLE	0.32950927137541053			
GO_FOLIC_ACID_TRANSPORT	0.3294847953384134			
PPAR_DR1_Q2	0.3294159686782571			
GSE22025_UNTREATED_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP	0.32932909489960505			
ESC_V6.5_UP_LATE.V1_UP	0.3293142426714585			
GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_DEVELOPMENT	0.3290948459203019			
GO_PROTEIN_LIPID_COMPLEX	0.32897787057838584			
GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE	0.3289538121793429			
MIR4763_5P	0.32893723856444923			
HOFFMANN_IMMATURE_TO_MATURE_B_LYMPHOCYTE_DN	0.32871078560135586			
GO_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS	0.328403422245301			
REACTOME_CHYLOMICRON_CLEARANCE	0.32832529506916314			
GO_IRON_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.32826349817712397			
GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_ASSEMBLY	0.3282158189503256			
GO_STEROL_BIOSYNTHETIC_PROCESS	0.3282010043275052			
GO_NEGATIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE	0.32800124927180113			
GO_POSITIVE_REGULATION_OF_ACTIVATION_OF_JANUS_KINASE_ACTIVITY	0.3279395730464939			
HNF4_01_B	0.32789836644851744			
GO_RNA_POLYMERASE_III_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	0.3277302828717409			
GO_REVERSE_CHOLESTEROL_TRANSPORT	0.32768838739404277			
MIR6742_5P	0.3273622962682785			
