	Score	0.95 MoE	P-Value	Q-Value
GO_DIPEPTIDASE_ACTIVITY	0.6432565664836376			
GO_GOLGI_CIS_CISTERNA	0.6340861519521356			
MIR8076	0.6317861819126521			
MIR8078	0.6268635267656169			
BIOCARTA_IGF1MTOR_PATHWAY	0.6262882958698656			
GO_STRUCTURAL_CONSTITUENT_OF_TOOTH_ENAMEL	0.6247363329978296			
GO_NEGATIVE_REGULATION_OF_ERAD_PATHWAY	0.6240399729584198			
GO_POSITIVE_REGULATION_OF_BONE_DEVELOPMENT	0.6224922916027236			
GO_NEGATIVE_REGULATION_OF_TRANSLATIONAL_ELONGATION	0.6175648933542456			
IPA_OXSR1_UP	0.6169817311738728			
IPA_WNK1_UP	0.6169817311738728			
GSE15659_CD45RA_NEG_CD4_TCELL_VS_RESTING_TREG_UP	0.616714936967801			
MATTIOLI_MULTIPLE_MYELOMA_WITH_14Q32_TRANSLOCATIONS	0.6158303344428293			
MIR4782_5P	0.6157733285570022			
GO_NEGATIVE_REGULATION_OF_BILE_ACID_METABOLIC_PROCESS	0.6136770066890634			
MIR516B_5P	0.6132815729926738			
REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER	0.6126015685473274			
GO_REGULATION_OF_GLUCAN_BIOSYNTHETIC_PROCESS	0.6078840939921362			
MIR4732_3P	0.6076948320311593			
GSE17721_LPS_VS_PAM3CSK4_2H_BMDC_DN	0.6072417463116377			
MIR5706	0.606830982674237			
REACTOME_SHC_RELATED_EVENTS_TRIGGERED_BY_IGF1R	0.6054615425207855			
SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_DN	0.6054565139318724			
GO_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS	0.6038172250608183			
MORI_SMALL_PRE_BII_LYMPHOCYTE_UP	0.6031795169257236			
SU_PANCREAS	0.6026713574023636			
GO_POSITIVE_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS	0.6014143697387934			
IPA_IRF4_UP	0.6013386269119612			
GO_CIS_GOLGI_NETWORK	0.6010188040499055			
MIR6511B_5P	0.6006501336130906			
GO_NAD_P_H_OXIDASE_ACTIVITY	0.6002785951148878			
GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS	0.5999585719538897			
MIR3059_3P	0.5999030000260616			
MIR5089_3P	0.5997876991278077			
SHAFFER_IRF4_MULTIPLE_MYELOMA_PROGRAM	0.5988825465402625			
MIR3144_3P	0.5984492741848464			
MIR371A_5P	0.5965999427154919			
GO_CCR1_CHEMOKINE_RECEPTOR_BINDING	0.5965702175400165			
GO_RESPONSE_TO_GLYCOPROTEIN	0.5957629993506			
MIR100_5P_MIR99A_5P_MIR99B_5P	0.5944151435840878			
MIR6811_5P	0.5922093016644733			
GSE46025_WT_VS_FOXO1_KO_KLRG1_LOW_CD8_EFFECTOR_TCELL_DN	0.5916631655299167			
MIR4513	0.5910062696096836			
GO_SIGNAL_RECOGNITION_PARTICLE	0.5909635629826419			
GO_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_APOPTOTIC_PROCESS	0.5903598755639858			
GO_ER_UBIQUITIN_LIGASE_COMPLEX	0.5901161851223521			
HEIDENBLAD_AMPLIFIED_IN_BONE_CANCER	0.5894191204380755			
GO_T_HELPER_17_TYPE_IMMUNE_RESPONSE	0.5877370708785802			
SHAFFER_IRF4_TARGETS_IN_MYELOMA_VS_MATURE_B_LYMPHOCYTE	0.5876132475979978			
SHAFFER_IRF4_TARGETS_IN_PLASMA_CELL_VS_MATURE_B_LYMPHOCYTE	0.5874966794435065			
MIR4266	0.5865240481006757			
MIR3151_5P	0.5864146050680011			
GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_UP	0.5860478053036647			
GO_PROTEIN_DEGLYCOSYLATION	0.5853567845616505			
IPA_ATF4_DN	0.5838614881679917			
SHAFFER_IRF4_TARGETS_IN_ACTIVATED_DENDRITIC_CELL	0.5825357340171353			
GO_POSITIVE_REGULATION_OF_GROWTH_HORMONE_SECRETION	0.5823846777603269			
GSE3982_MAC_VS_NKCELL_DN	0.5818384645033738			
MIR5691_MIR6805_3P	0.5816804505788841			
GO_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	0.5812394180161498			
BIOCARTA_LONGEVITY_PATHWAY	0.5788968585343431			
GO_GUANYLATE_CYCLASE_ACTIVITY	0.5778570089644044			
IPA_POU2F3_UP	0.5772357778382632			
IPA_POU2F3_DN	0.5772357778382632			
PAF1_TARGET_GENES	0.5771492220644382			
MIR4746_5P	0.5737003201801825			
GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_UP	0.5736693732644816			
GSE11961_PLASMA_CELL_DAY7_VS_MEMORY_BCELL_DAY40_DN	0.5732948992821136			
ZNF622_TARGET_GENES	0.5728924203254815			
MIR5187_3P	0.5724117736114194			
ZC3H11A_TARGET_GENES	0.5722275729188003			
chr10p12	0.571662809850694			
GO_REGULATION_OF_TOOTH_MINERALIZATION	0.5702942229732769			
GO_TRNA_THREONYLCARBAMOYLADENOSINE_METABOLIC_PROCESS	0.5693797101550302			
MIR6855_3P	0.5693059124807025			
TURJANSKI_MAPK14_TARGETS	0.5692020910361081			
TESAR_ALK_AND_JAK_TARGETS_MOUSE_ES_D4_DN	0.5689539725802993			
MIR3189_5P	0.568676222224507			
IPA_PRDM1_UP	0.5676953308035644			
GO_PROTEIN_DEMANNOSYLATION	0.5673454511150843			
GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_DN	0.5671080701053554			
BIOCARTA_CHEMICAL_PATHWAY	0.5659544633362259			
GO_CCR5_CHEMOKINE_RECEPTOR_BINDING	0.5656991495078872			
GO_REGULATION_OF_PROTEIN_HOMODIMERIZATION_ACTIVITY	0.5648652457749935			
chr1q23	0.564852459818197			
GO_BONE_MINERALIZATION	0.5643688721026425			
IPA_XBP1_UP	0.564173710681874			
GO_REGULATION_OF_ENAMEL_MINERALIZATION	0.5629026122286777			
GSE7459_UNTREATED_VS_IL6_TREATED_ACT_CD4_TCELL_UP	0.5624430525836294			
GO_ARF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	0.562033394771558			
chr1q22	0.5617484398373401			
GO_NEGATIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM	0.5615067634861654			
FUNG_IL2_SIGNALING_2	0.5612572859094953			
GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP	0.5606556745682875			
KEGG_PROTEIN_EXPORT	0.5606145043090083			
MIR378J	0.5601455154583065			
GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_UP	0.5599475776040611			
IPA_PROX1_UP	0.5596270558405578			
SHIN_B_CELL_LYMPHOMA_CLUSTER_2	0.5592986767979554			
GO_URIDYLYLTRANSFERASE_ACTIVITY	0.5591669493933911			
BIOCARTA_TCAPOPTOSIS_PATHWAY	0.5582791494970759			
REACTOME_SYNTHESIS_OF_GDP_MANNOSE	0.5573780917805341			
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN	0.5572121990023771			
GO_NUCLEOTIDE_SALVAGE	0.5570279410988895			
GO_GRANULAR_COMPONENT	0.5564881892367638			
GO_MANNOSYL_OLIGOSACCHARIDE_1_2_ALPHA_MANNOSIDASE_ACTIVITY	0.5553761750281526			
GSE41867_DAY6_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP	0.5546471093814377			
