	Score	0.95 MoE	P-Value	Q-Value
VDR_Q6	0.36279602215860574			
GSE14000_TRANSLATED_RNA_VS_MRNA_16H_LPS_DC_UP	0.35822047864222467			
GO_CEREBELLAR_PURKINJE_CELL_LAYER_DEVELOPMENT	0.35530181534930494			
MIR4644	0.3517789266059084			
GTGGTGA_MIR197	0.3485515379882165			
GO_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	0.34781837380491315			
GO_REGULATION_OF_STEM_CELL_PROLIFERATION	0.3476412810323544			
GO_HINDLIMB_MORPHOGENESIS	0.3472344090656366			
GO_MAINTENANCE_OF_CELL_NUMBER	0.3464075070845264			
GO_KERATINOCYTE_APOPTOTIC_PROCESS	0.34450805813796104			
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	0.3443360228164756			
GO_LOCOMOTOR_RHYTHM	0.34387914223479293			
MIR4758_3P	0.3424768593880365			
GO_DYNEIN_COMPLEX_BINDING	0.34231784425885387			
BRUNEAU_HEART_GREAT_VESSELS_AND_VALVULOGENESIS	0.34198375136094256			
GO_REGULATION_OF_CEREBELLAR_GRANULE_CELL_PRECURSOR_PROLIFERATION	0.34145633091677513			
GCTGAGT_MIR5125P	0.3414473503940893			
IPA_HAND2_DN	0.33949232896958503			
GO_PEPTIDYL_ARGININE_OMEGA_N_METHYLATION	0.3394143658098474			
MIR185_5P	0.33939898187384177			
GO_MAMMARY_GLAND_EPITHELIAL_CELL_DIFFERENTIATION	0.3393326507403221			
MIR4441	0.3389196818711001			
GO_NEURAL_TUBE_PATTERNING	0.33831247234997225			
MIR4741	0.33708924950085406			
GO_RDNA_BINDING	0.33667908564830606			
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	0.336061489303806			
GO_CELL_PROLIFERATION_IN_HINDBRAIN	0.33511808294439016			
GO_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	0.334996438069703			
BIOCARTA_VDR_PATHWAY	0.3348915621673307			
GO_METENCEPHALON_DEVELOPMENT	0.33441866578520224			
PID_HEDGEHOG_2PATHWAY	0.33403831326269057			
GO_TRNA_THIO_MODIFICATION	0.3339939906263833			
REACTOME_HDACS_DEACETYLATE_HISTONES	0.33372745749306226			
ASXL2_TARGET_GENES	0.3336877882038216			
MIR4514	0.3335720815796194			
ERR1_Q2	0.33328137463365126			
GO_EMBRYONIC_HEART_TUBE_DEVELOPMENT	0.33256822615368997			
GSE19772_HCMV_INFL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_UP	0.332489983024927			
GO_HISTONE_ARGININE_METHYLATION	0.3324859192701252			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_UP	0.3318236146472286			
GSE7460_FOXP3_MUT_VS_HET_ACT_TCONV_DN	0.3315702888843981			
GO_DEDIFFERENTIATION	0.3315144960266635			
GO_ANCHORED_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	0.331437047362469			
GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_INVOLVED_IN_HEART_DEVELOPMENT	0.33134185292823004			
GO_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	0.3305531742395589			
