	Score	0.95 MoE	P-Value	Q-Value
GO_HISTONE_DEMETHYLASE_ACTIVITY_H3_K36_SPECIFIC	0.5135189116507335			
GO_HISTONE_H3_K36_DEMETHYLATION	0.5135189116507335			
GO_REGULATION_OF_DNA_METHYLATION	0.49232633035512247			
NIKOLSKY_BREAST_CANCER_17Q11_Q21_AMPLICON	0.48743151597497153			
GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_UP	0.4867283683525559			
REACTOME_PHOSPHOLIPID_METABOLISM	0.485483188531827			
GO_DNA_METHYLATION	0.4824359209898505			
GO_GLYCEROLIPID_BIOSYNTHETIC_PROCESS	0.4761291163985879			
GAVIN_IL2_RESPONSIVE_FOXP3_TARGETS_UP	0.4755730131339162			
IPA_E2F2_DN	0.4733508787140578			
GO_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	0.46511637961613767			
GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP	0.4633539260219612			
GO_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	0.4633118672075309			
GO_PHOSPHOLIPID_METABOLIC_PROCESS	0.46069249486540514			
GSE17721_CTRL_VS_CPG_1H_BMDC_UP	0.4606295400590733			
GO_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS	0.459373371979052			
GO_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	0.459333286845745			
GSE17721_POLYIC_VS_CPG_1H_BMDC_UP	0.4586862039094919			
GO_DNA_METHYLATION_OR_DEMETHYLATION	0.45859164916186657			
PRC1_BMI_UP.V1_DN	0.457494730695216			
GO_GRANULOCYTE_DIFFERENTIATION	0.45463371563446947			
GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_UP	0.4543974354868794			
GSE360_T_GONDII_VS_M_TUBERCULOSIS_DC_UP	0.45184945149237205			
GO_DNA_MODIFICATION	0.4507110680781073			
