	Score	0.95 MoE	P-Value	Q-Value
GO_REGULATION_OF_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.5815089913803934			
GO_MAST_CELL_MEDIATED_IMMUNITY	0.567074238984853			
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	0.5645511524107406			
GSE37416_CTRL_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.556142697037401			
GO_REGULATION_OF_LEUKOCYTE_DEGRANULATION	0.5525380076770269			
GO_TERTIARY_GRANULE_MEMBRANE	0.5522249323405809			
GO_IMMUNOGLOBULIN_BINDING	0.5494282844970785			
IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR	0.548458692794049			
IPA_TBX21_UP	0.5482653464294369			
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_DN	0.5474690221950123			
GSE23321_CD8_STEM_CELL_MEMORY_VS_NAIVE_CD8_TCELL_DN	0.5466937336594242			
GO_LEUKOCYTE_MEDIATED_CYTOTOXICITY	0.546588131350149			
GO_CELL_KILLING	0.5459837871027869			
GO_LIPASE_ACTIVATOR_ACTIVITY	0.5453813721655935			
IPA_DAXX_UP	0.5433538213373997			
GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.5432620405093238			
GO_MAST_CELL_ACTIVATION	0.5429471429048873			
GO_HISTAMINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	0.5429210993376437			
GO_REGULATION_OF_MAST_CELL_ACTIVATION	0.542706740745352			
GSE32533_MIR17_KO_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_UP	0.5417601857002401			
GSE40274_CTRL_VS_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.5411216760102062			
GO_LEUKOCYTE_MEDIATED_IMMUNITY	0.5394958590243573			
GO_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	0.5390932953185047			
GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.5388411040393359			
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.5378444179918139			
GO_NEGATIVE_REGULATION_OF_B_CELL_ACTIVATION	0.5377960717848295			
GO_T_CELL_LINEAGE_COMMITMENT	0.5377844124413788			
JAATINEN_HEMATOPOIETIC_STEM_CELL_DN	0.5360180885888158			
GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP	0.5355148554236898			
GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.5344043901948757			
